,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Bam Adebayo,36:26,.607,.611,.000,.222,2.9,14.6,9.2,5.6,1.4,5.5,13.2,28.0,105,97,1.9
1,Caleb Martin,31:30,.556,.500,.400,1.000,3.3,11.3,7.6,13.1,1.6,2.1,29.4,14.5,95,101,-1.4
2,Tyler Herro,30:45,.536,.536,.357,.000,0.0,17.3,9.4,16.4,0.0,2.2,6.7,21.9,108,101,0.7
3,Jimmy Butler,27:00,.666,.625,.083,1.000,7.7,23.0,16.0,41.7,5.5,2.5,14.8,33.7,129,86,19.6
4,Nikola Jović,20:41,.500,.500,.333,.000,0.0,12.9,7.0,13.0,0.0,3.2,25.0,8.7,94,102,-1.7
5,Duncan Robinson,30:42,.607,.607,.786,.000,0.0,0.0,0.0,10.9,0.0,4.3,17.6,24.8,100,109,1.5
6,Jaime Jaquez Jr.,26:52,.410,.250,.375,.500,7.8,6.6,7.1,5.2,1.9,0.0,0.0,16.3,106,104,-3.6
7,Haywood Highsmith,19:25,1.250,1.250,.500,.000,10.7,9.2,9.9,7.5,0.0,3.4,0.0,4.6,241,104,7.9
8,Kevin Love,16:39,.250,.250,.833,.000,12.5,32.0,23.1,8.2,0.0,4.0,0.0,16.2,84,91,-9.3
9,Thomas Bryant,Did Not Play,,,,,,,,,,,,,,,
10,Cole Swider,Did Not Play,,,,,,,,,,,,,,,
11,Alondes Williams,Did Not Play,,,,,,,,,,,,,,,
12,Delon Wright,Did Not Play,,,,,,,,,,,,,,,
