,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jeremy Sochan,34:22,7,16,.438,1,6,.167,0,0,,7,6,13,5,2,0,3,3,15,14.6,-10
1,Victor Wembanyama,30:55,7,16,.438,3,8,.375,10,11,.909,1,9,10,8,5,5,2,3,27,32.5,0
2,Devin Vassell,30:05,3,15,.200,2,5,.400,2,2,1.000,1,2,3,3,0,2,2,1,10,3.1,-11
3,Tre Jones,27:29,3,6,.500,2,2,1.000,0,0,,1,2,3,4,1,0,0,1,8,9.7,-11
4,Julian Champagnie,23:38,2,7,.286,1,5,.200,2,4,.500,2,2,4,5,1,0,0,1,7,8.2,+9
5,Keldon Johnson,29:28,5,9,.556,1,3,.333,3,4,.750,1,1,2,3,0,0,3,0,14,9.4,-13
6,Malaki Branham,23:21,6,14,.429,3,5,.600,2,2,1.000,1,1,2,1,0,0,0,1,17,10.9,+3
7,Zach Collins,17:05,6,8,.750,2,2,1.000,0,0,,0,3,3,0,0,0,2,3,14,8.5,-5
8,Cedi Osman,11:09,1,2,.500,0,1,.000,0,0,,0,2,2,4,0,0,1,0,2,3.4,-2
9,Blake Wesley,9:59,2,3,.667,0,1,.000,0,0,,2,1,3,0,0,0,1,1,4,3.0,+8
10,Sandro Mamukelashvili,2:29,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,+7
11,Devonte' Graham,Did Not Play,,,,,,,,,,,,,,,,,,,,
