,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Immanuel Quickley,36:44,.600,.600,.550,.000,0.0,16.3,9.1,17.1,0.0,0.0,13.0,25.8,107,119,-3.2
1,Scottie Barnes,36:36,.678,.615,.154,.308,2.9,9.4,6.5,33.2,1.3,2.0,16.9,20.0,132,119,5.3
2,Gary Trent Jr.,34:25,.424,.357,.643,.214,3.1,7.5,5.5,12.6,0.0,2.1,6.1,19.5,100,123,-7.9
3,Jakob Poeltl,26:02,.462,.462,.000,.000,24.6,23.0,23.7,28.4,0.0,5.5,7.1,22.2,123,113,3.7
4,Jordan Nwora,14:14,.000,.000,.600,.000,0.0,24.1,13.4,13.5,3.3,0.0,0.0,14.5,30,108,-13.2
5,Bruce Brown,31:54,.636,.611,.222,.111,0.0,8.1,4.5,10.6,0.0,2.2,0.0,12.2,138,123,-1.7
6,Kelly Olynyk,21:55,.556,.556,.222,.000,4.9,15.6,10.8,33.7,0.0,3.3,0.0,16.9,139,117,1.9
7,Gradey Dick,21:33,.692,.692,.385,.000,0.0,8.0,4.4,6.9,0.0,0.0,0.0,24.9,133,124,2.0
8,Ochai Agbaji,16:37,1.167,1.167,.833,.000,12.8,10.3,11.4,0.0,2.8,4.3,33.3,22.3,114,113,10.9
9,Chris Boucher,Did Not Play,,,,,,,,,,,,,,,
10,D.J. Carton,Did Not Play,,,,,,,,,,,,,,,
11,Jalen McDaniels,Did Not Play,,,,,,,,,,,,,,,
12,Garrett Temple,Did Not Play,,,,,,,,,,,,,,,
