,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,DeMar DeRozan,40:03,6,13,.462,2,4,.500,10,12,.833,1,5,6,7,0,0,2,1,24,21.2,+4
1,Ayo Dosunmu,39:08,8,15,.533,3,6,.500,2,2,1.000,1,2,3,8,3,0,1,1,21,22.2,+6
2,Coby White,37:06,5,18,.278,2,9,.222,4,4,1.000,1,6,7,3,2,0,1,2,16,10.2,-11
3,Nikola Vučević,33:45,10,19,.526,2,5,.400,0,0,,5,8,13,3,1,0,3,3,22,17.5,+2
4,Alex Caruso,31:44,5,13,.385,2,9,.222,0,0,,1,2,3,2,2,0,0,2,12,8.8,+9
5,Jevon Carter,19:39,3,7,.429,2,6,.333,0,0,,1,2,3,2,2,0,1,0,8,8.0,+15
6,Dalen Terry,15:24,1,4,.250,0,1,.000,0,0,,1,3,4,3,2,0,1,4,2,2.7,+17
7,Andre Drummond,14:15,2,5,.400,0,0,,3,3,1.000,1,7,8,1,0,0,0,2,7,7.0,+6
8,Terry Taylor,7:13,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,2,2.3,-11
9,Julian Phillips,1:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
10,Onuralp Bitim,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Torrey Craig,Not With Team,,,,,,,,,,,,,,,,,,,,
