,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Andrew Nembhard,33:05,.938,.938,.125,.000,4.0,6.0,5.2,6.9,1.4,0.0,0.0,10.3,187,112,4.2
1,Bennedict Mathurin,32:57,.485,.464,.500,.071,8.1,27.3,19.1,16.3,4.2,0.0,12.2,21.3,104,101,0.8
2,Tyrese Haliburton,31:23,.567,.567,.333,.000,0.0,9.6,5.5,38.5,5.9,0.0,6.3,21.8,127,101,8.4
3,Myles Turner,29:48,.814,.733,.467,.800,8.9,20.1,15.3,4.5,0.0,0.0,16.5,34.8,135,112,4.5
4,Pascal Siakam,29:16,.505,.455,.182,.182,0.0,30.8,17.6,7.5,3.2,0.0,0.0,17.3,109,103,-1.2
5,T.J. McConnell,19:07,.600,.600,.000,.000,0.0,0.0,0.0,47.6,0.0,0.0,9.1,24.6,129,116,0.5
6,Obi Toppin,18:44,.800,.800,.800,.000,0.0,10.7,6.1,23.1,0.0,0.0,28.6,15.9,119,114,3.4
7,Jalen Smith,15:15,.167,.167,.667,.000,8.7,32.8,22.5,12.9,0.0,0.0,14.3,19.6,60,109,-16.4
8,Ben Sheppard,12:25,1.250,1.250,.833,.000,0.0,8.1,4.6,47.3,7.5,0.0,0.0,20.6,227,96,43.3
9,Doug McDermott,12:06,.521,.500,.500,1.000,0.0,16.5,9.4,8.3,0.0,0.0,0.0,10.2,120,113,-3.7
10,Isaiah Jackson,2:57,1.000,1.000,.000,.000,0.0,33.9,19.4,0.0,0.0,0.0,50.0,28.9,65,110,-7.7
11,Jarace Walker,2:57,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-6.2
12,Kendall Brown,Did Not Play,,,,,,,,,,,,,,,
13,James Johnson,Did Not Play,,,,,,,,,,,,,,,
14,Oscar Tshiebwe,Did Not Play,,,,,,,,,,,,,,,
