,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Cade Cunningham,36:03,10,19,.526,5,7,.714,7,8,.875,2,3,5,8,0,2,5,1,32,26.2,+3
1,Ausar Thompson,35:37,3,5,.600,1,3,.333,0,2,.000,0,4,4,3,3,0,4,3,7,5.0,+3
2,Simone Fontecchio,32:58,5,9,.556,2,5,.400,0,0,,0,3,3,1,0,0,2,1,12,6.9,-2
3,Jalen Duren,31:20,4,11,.364,0,0,,3,4,.750,5,11,16,4,1,1,0,2,11,15.0,+3
4,Jaden Ivey,24:02,3,10,.300,1,4,.250,7,7,1.000,1,1,2,3,1,0,1,1,14,10.9,+4
5,Quentin Grimes,23:58,4,9,.444,3,6,.500,3,3,1.000,0,3,3,2,1,3,2,2,14,11.9,-6
6,Evan Fournier,19:37,3,5,.600,1,3,.333,0,0,,0,0,0,1,2,0,2,3,7,4.2,-1
7,James Wiseman,16:40,2,4,.500,0,0,,0,0,,2,4,6,1,1,0,1,1,4,4.9,-5
8,Malachi Flynn,11:57,3,6,.500,1,2,.500,1,2,.500,0,3,3,2,0,0,0,1,8,6.5,-5
9,Tosan Evbuomwan,7:48,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-4
10,Troy Brown Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Shake Milton,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Mike Muscala,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Isaiah Stewart,Not With Team,,,,,,,,,,,,,,,,,,,,
