,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Caleb Martin,40:18,6,14,.429,3,6,.500,1,1,1.000,2,4,6,1,1,0,1,2,16,11.1,+18
1,Duncan Robinson,38:36,1,11,.091,0,6,.000,2,3,.667,1,3,4,11,0,0,2,3,4,2.4,+25
2,Jaime Jaquez Jr.,37:41,12,17,.706,1,2,.500,1,2,.500,1,4,5,2,4,0,2,2,26,23.0,-5
3,Bam Adebayo,36:03,11,18,.611,0,1,.000,6,7,.857,2,8,10,7,2,1,5,1,28,25.4,+11
4,Delon Wright,35:20,3,5,.600,2,4,.500,5,6,.833,0,2,2,5,2,1,0,0,13,17.1,+9
5,Haywood Highsmith,28:54,6,9,.667,3,5,.600,0,0,,3,1,4,0,3,1,0,3,15,16.0,-2
6,Kevin Love,15:14,6,9,.667,2,3,.667,5,6,.833,1,6,7,1,0,0,1,1,19,16.5,+10
7,Cole Swider,4:49,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-5
8,Alondes Williams,3:05,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-6
9,Thomas Bryant,Not With Team,,,,,,,,,,,,,,,,,,,,
10,Jimmy Butler,Not With Team,,,,,,,,,,,,,,,,,,,,
11,Jamal Cain,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Nikola Jović,Not With Team,,,,,,,,,,,,,,,,,,,,
