,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Coby White,41:27,.285,.143,.357,.571,2.1,14.5,6.7,18.9,0.0,0.0,5.4,19.2,77,120,-10.5
1,DeMar DeRozan,39:44,.655,.563,.125,.438,0.0,11.3,4.2,17.2,1.3,0.0,0.0,20.6,144,118,5.4
2,Ayo Dosunmu,38:30,.286,.286,.357,.000,6.9,11.7,8.7,22.0,4.0,0.0,12.5,17.8,76,112,-5.0
3,Nikola Vučević,37:11,.533,.543,.304,.043,7.2,28.2,15.0,11.0,0.0,3.4,4.1,28.2,110,115,1.8
4,Alex Caruso,24:36,.222,.222,.556,.000,3.6,6.1,4.5,5.6,10.5,0.0,10.0,17.4,54,97,-6.0
5,Andre Drummond,27:46,.672,.643,.000,.143,19.2,27.0,22.1,0.0,0.0,4.5,6.3,24.5,134,115,5.0
6,Dalen Terry,15:07,.500,.500,.667,.000,5.9,0.0,3.7,17.7,3.4,0.0,0.0,8.5,130,115,1.8
7,Jevon Carter,12:04,.000,.000,.500,.000,0.0,12.4,4.6,10.2,4.3,10.5,0.0,14.2,13,106,-8.6
8,Terry Taylor,3:35,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,122,-25.6
9,Onuralp Bitim,Did Not Play,,,,,,,,,,,,,,,
10,Henri Drell,Did Not Play,,,,,,,,,,,,,,,
11,Andrew Funk,Did Not Play,,,,,,,,,,,,,,,
12,Julian Phillips,Did Not Play,,,,,,,,,,,,,,,
13,Adama Sanogo,Did Not Play,,,,,,,,,,,,,,,
