,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Fred VanVleet,36:11,2,11,.182,1,7,.143,0,0,,0,1,1,5,1,0,2,5,5,-1.1,-17
1,Alperen Sengun,35:47,8,13,.615,0,1,.000,7,12,.583,3,8,11,6,2,2,5,2,23,21.4,-11
2,Jabari Smith Jr.,35:18,7,16,.438,1,6,.167,3,4,.750,2,11,13,2,1,1,1,1,18,15.6,-9
3,Dillon Brooks,31:33,3,9,.333,1,6,.167,0,0,,1,3,4,1,0,0,0,2,7,3.4,-14
4,Jalen Green,27:56,6,17,.353,2,6,.333,2,2,1.000,1,5,6,3,0,0,3,2,16,7.0,-8
5,Amen Thompson,17:22,1,5,.200,0,2,.000,0,0,,4,4,8,0,0,1,2,1,2,1.2,-5
6,Jeff Green,16:34,2,3,.667,1,2,.500,0,0,,0,0,0,3,0,2,1,1,5,5.8,-13
7,Cam Whitmore,15:58,4,9,.444,1,3,.333,0,0,,0,1,1,1,1,0,0,0,9,6.3,-7
8,Aaron Holiday,15:54,4,10,.400,2,5,.400,0,0,,1,0,1,0,0,1,0,1,10,5.6,-4
9,Reggie Bullock,2:29,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0,-1.8,+1
10,Jock Landale,2:29,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+1
11,Jae'Sean Tate,2:29,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,0,0,1.4,+1
12,Boban Marjanović,Did Not Play,,,,,,,,,,,,,,,,,,,,
