,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jalen Williams,34:51,11,17,.647,2,3,.667,0,0,,2,3,5,5,2,2,3,1,24,22.3,+5
1,Chet Holmgren,33:35,6,13,.462,1,4,.250,5,5,1.000,2,11,13,2,1,3,2,4,18,16.9,+10
2,Shai Gilgeous-Alexander,31:51,11,21,.524,4,6,.667,5,6,.833,2,6,8,3,1,0,2,2,31,23.8,+6
3,Luguentz Dort,21:33,1,9,.111,1,5,.200,0,0,,0,3,3,1,0,1,1,2,3,-2.4,+4
4,Josh Giddey,20:13,6,11,.545,1,3,.333,1,2,.500,1,6,7,4,0,0,3,1,14,10.2,+4
5,Gordon Hayward,18:55,2,5,.400,0,0,,1,1,1.000,1,3,4,0,0,0,0,1,5,3.5,+7
6,Jaylin Williams,18:52,2,2,1.000,1,1,1.000,0,0,,0,3,3,2,1,1,0,2,5,7.6,+14
7,Isaiah Joe,16:03,1,2,.500,0,0,,0,0,,1,1,2,1,0,0,2,0,2,0.7,+14
8,Aaron Wiggins,15:45,2,6,.333,0,1,.000,2,2,1.000,2,0,2,0,0,1,0,1,6,4.3,+8
9,Cason Wallace,14:16,1,3,.333,0,2,.000,0,2,.000,0,2,2,1,1,0,0,0,2,1.8,+8
10,Kenrich Williams,11:37,0,2,.000,0,2,.000,0,0,,0,5,5,0,0,0,0,0,0,0.1,+6
11,Keyontae Johnson,2:29,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,0,0,2,2.7,-1
12,Bismack Biyombo,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Olivier Sarr,Did Not Play,,,,,,,,,,,,,,,,,,,,
