,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Tyrese Maxey,36:35,.621,.583,.500,.167,2.4,9.0,4.7,30.9,2.8,2.5,3.7,32.4,125,122,16.6
1,Buddy Hield,29:16,.375,.375,.875,.000,0.0,11.3,3.9,19.5,0.0,0.0,11.1,13.6,84,129,-7.4
2,Tobias Harris,29:05,.334,.316,.368,.053,6.0,0.0,3.9,0.0,0.0,0.0,4.9,31.2,69,131,-13.3
3,Kelly Oubre Jr.,21:46,.218,.167,.333,.333,0.0,7.6,2.6,6.3,2.3,0.0,0.0,14.0,54,125,-11.2
4,Paul Reed,13:54,.000,.000,.000,.000,0.0,35.7,12.3,0.0,0.0,0.0,0.0,9.6,0,124,-15.5
5,Kyle Lowry,23:12,.436,.333,.333,.333,0.0,14.3,4.9,23.7,4.4,0.0,0.0,6.6,126,119,2.4
6,Nicolas Batum,20:01,.375,.375,.750,.000,4.4,16.5,8.6,6.9,2.5,4.6,33.3,13.3,64,120,-7.0
7,Ricky Council IV,19:05,.820,.750,.000,.500,4.6,26.0,12.0,11.5,0.0,0.0,9.3,25.0,150,126,11.6
8,Mo Bamba,18:12,.625,.625,.375,.000,14.4,27.3,18.8,0.0,0.0,5.1,11.1,21.9,116,123,0.3
9,Cameron Payne,16:04,.722,.722,.556,.000,0.0,0.0,0.0,27.1,0.0,5.7,18.2,30.4,111,128,9.7
10,De'Anthony Melton,8:50,.000,.000,1.000,.000,0.0,18.7,6.5,14.7,0.0,10.4,0.0,10.0,28,121,-7.8
11,Darius Bazley,4:00,,,,,0.0,41.4,14.3,32.4,0.0,0.0,,0.0,238,123,5.1
