,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jrue Holiday,34:58,6,8,.750,1,1,1.000,0,0,,3,4,7,4,1,2,4,0,13,14.3,+19
1,Jayson Tatum,34:45,9,20,.450,1,7,.143,10,11,.909,0,11,11,8,0,1,1,1,29,26.4,+27
2,Jaylen Brown,34:41,11,14,.786,1,2,.500,8,10,.800,1,5,6,1,1,0,4,4,31,23.1,+25
3,Kristaps Porziņģis,31:19,5,12,.417,1,2,.500,12,12,1.000,4,8,12,1,1,1,1,1,23,22.8,+29
4,Derrick White,29:59,2,6,.333,0,2,.000,2,2,1.000,0,6,6,6,2,3,2,0,6,10.7,+31
5,Al Horford,21:11,4,6,.667,0,2,.000,0,0,,0,5,5,1,1,1,0,1,8,8.9,-5
6,Sam Hauser,21:11,1,2,.500,1,2,.500,0,0,,0,5,5,0,0,1,1,4,3,1.6,-17
7,Payton Pritchard,16:12,1,4,.250,0,3,.000,0,0,,0,2,2,0,1,0,1,1,2,-0.2,-13
8,Luke Kornet,11:06,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,3,2,1.1,0
9,Oshae Brissett,2:34,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
10,Jaden Springer,2:04,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,-2
11,Svi Mykhailiuk,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Xavier Tillman Sr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Jordan Walsh,Did Not Play,,,,,,,,,,,,,,,,,,,,
