,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,James Harden,39:40,.617,.563,.563,.375,3.0,6.9,4.8,30.8,1.3,0.0,17.7,25.4,117,125,1.4
1,Kawhi Leonard,39:17,.654,.658,.316,.105,6.1,17.5,11.4,23.2,1.3,0.0,4.8,23.6,134,123,7.5
2,Daniel Theis,30:49,.450,.450,.400,.000,3.9,17.8,10.4,8.0,0.0,3.1,9.1,15.9,95,124,-5.4
3,Terance Mann,30:23,.810,.778,.111,.222,3.9,22.6,12.6,9.3,1.6,0.0,0.0,14.4,169,121,5.4
4,Amir Coffey,25:04,.500,.500,.750,.000,4.8,10.9,7.7,14.6,4.0,0.0,11.1,16.0,106,118,-0.1
5,Norman Powell,30:20,.467,.467,.600,.000,0.0,18.1,8.4,8.9,1.6,0.0,6.3,23.4,93,122,-6.0
6,Russell Westbrook,17:23,.405,.333,.222,.222,6.9,7.9,7.4,22.6,8.6,0.0,9.2,27.8,96,107,-2.3
7,Mason Plumlee,15:57,.840,1.000,.000,1.333,15.0,17.2,16.1,16.7,3.1,0.0,29.6,18.8,126,119,4.9
8,P.J. Tucker,11:07,,,,,0.0,24.7,11.5,0.0,0.0,0.0,100.0,4.0,0,125,-11.4
9,Brandon Boston Jr.,Did Not Play,,,,,,,,,,,,,,,
10,Kobe Brown,Did Not Play,,,,,,,,,,,,,,,
11,Moussa Diabaté,Did Not Play,,,,,,,,,,,,,,,
12,Bones Hyland,Did Not Play,,,,,,,,,,,,,,,
13,Jordan Miller,Did Not Play,,,,,,,,,,,,,,,
14,Xavier Moon,Did Not Play,,,,,,,,,,,,,,,
