,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,James Harden,39:40,8,16,.500,2,9,.222,5,6,.833,1,2,3,9,1,0,4,1,23,18.8,-12
1,Kawhi Leonard,39:17,11,19,.579,3,6,.500,1,2,.500,2,5,7,6,1,0,1,1,26,23.4,-2
2,Daniel Theis,30:49,4,10,.400,1,4,.250,0,0,,1,4,5,2,0,1,1,1,9,6.2,0
3,Terance Mann,30:23,7,9,.778,0,1,.000,2,2,1.000,1,5,6,2,1,0,0,2,16,16.3,-1
4,Amir Coffey,25:04,3,8,.375,2,6,.333,0,0,,1,2,3,3,2,0,1,3,8,6.8,+9
5,Norman Powell,30:20,6,15,.400,2,9,.222,0,0,,0,4,4,2,1,0,1,2,14,7.7,-13
6,Russell Westbrook,17:23,3,9,.333,0,2,.000,2,2,1.000,1,1,2,3,3,0,1,5,8,6.0,+3
7,Mason Plumlee,15:57,3,3,1.000,0,0,,2,4,.500,2,2,4,2,1,0,2,1,8,8.3,-1
8,P.J. Tucker,11:07,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-0.8,-3
9,Brandon Boston Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Kobe Brown,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Moussa Diabaté,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Bones Hyland,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Jordan Miller,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Xavier Moon,Did Not Play,,,,,,,,,,,,,,,,,,,,
