,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Miles Bridges,39:08,.715,.694,.389,.111,3.1,30.7,16.9,8.0,0.0,0.0,5.0,25.3,136,135,3.0
1,Tre Mann,32:09,.414,.350,.400,.200,0.0,11.2,5.6,23.3,0.0,0.0,0.0,16.8,112,144,-9.9
2,Cody Martin,32:08,.581,.500,.444,.333,3.7,11.2,7.5,8.1,0.0,5.7,8.8,17.5,119,141,-5.0
3,Nick Richards,29:34,.883,.889,.000,.444,8.1,8.1,8.1,5.4,0.0,6.2,0.0,18.1,183,142,5.3
4,Seth Curry,22:52,.313,.313,.375,.000,5.2,5.2,5.2,10.8,2.4,0.0,0.0,17.4,87,140,-12.3
5,Vasilije Micić,28:06,.604,.500,.222,.444,0.0,0.0,0.0,33.1,3.9,0.0,15.7,22.6,124,139,-0.1
6,Grant Williams,27:18,1.009,1.083,.167,.167,8.8,17.6,13.2,10.8,2.0,3.4,13.4,13.6,174,134,4.3
7,Dāvis Bertāns,19:40,.583,.583,.833,.000,0.0,6.1,3.1,15.9,0.0,0.0,0.0,30.4,120,146,-1.2
8,Bryce McGowens,9:05,.291,.333,.667,.333,0.0,13.2,6.6,0.0,6.0,10.2,0.0,18.8,59,123,-8.2
9,Brandon Miller,Did Not Play,,,,,,,,,,,,,,,
10,JT Thor,Did Not Play,,,,,,,,,,,,,,,
