,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Moses Moody,31:34,.654,.654,.385,.000,3.0,11.7,7.4,4.6,3.0,6.1,7.1,17.8,126,99,6.1
1,Stephen Curry,30:06,.568,.568,.682,.000,6.3,12.3,9.3,32.3,0.0,0.0,15.4,34.6,110,109,3.6
2,Klay Thompson,29:42,.538,.538,.692,.000,3.2,15.5,9.4,4.5,4.7,0.0,13.3,20.2,100,97,0.2
3,Draymond Green,27:48,.521,.250,.000,1.000,6.8,36.5,21.8,20.4,1.7,6.9,34.2,12.6,106,93,1.3
4,Jonathan Kuminga,27:16,.555,.474,.105,.316,6.9,13.5,10.3,12.5,0.0,0.0,8.5,34.7,115,108,-2.0
5,Chris Paul,24:18,.650,.650,.600,.000,0.0,15.2,7.7,28.9,3.8,0.0,0.0,16.5,152,99,8.6
6,Lester Quinones,22:35,.436,.417,.833,.333,4.2,12.3,8.3,5.3,0.0,0.0,0.0,12.2,110,109,-5.3
7,Trayce Jackson-Davis,16:04,.781,.750,.000,1.000,11.7,11.5,11.6,0.0,0.0,0.0,0.0,14.3,171,108,-1.4
8,Gary Payton II,14:04,.500,.500,.250,.000,20.1,6.6,13.3,9.2,3.3,0.0,0.0,11.4,141,103,3.1
9,Kevon Looney,9:49,.000,.000,.000,2.000,9.6,28.2,19.0,22.2,4.8,9.8,34.7,11.7,57,87,-0.9
10,Dario Šarić,5:43,.500,.500,.500,.000,0.0,0.0,0.0,47.2,0.0,0.0,33.3,21.0,96,113,-2.2
11,Jerome Robinson,1:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,113,-7.2
