,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jordan Goodwin,33:44,4,13,.308,1,5,.200,1,2,.500,2,1,3,2,2,4,3,1,10,6.6,-31
1,Trey Jemison,30:06,2,3,.667,0,0,,1,2,.500,2,4,6,1,0,0,1,5,5,3.6,-12
2,Vince Williams Jr.,28:40,3,7,.429,0,0,,2,5,.400,0,2,2,5,0,2,4,2,8,3.8,-18
3,Santi Aldama,27:33,3,10,.300,0,4,.000,0,0,,3,5,8,1,0,1,4,1,6,0.8,-37
4,Ziaire Williams,25:49,4,10,.400,1,3,.333,0,0,,0,5,5,2,1,0,1,1,9,6.1,-9
5,Jake LaRavia,26:09,7,13,.538,3,7,.429,4,5,.800,0,2,2,2,1,0,3,2,21,13.5,-7
6,GG Jackson II,22:43,4,8,.500,2,3,.667,1,2,.500,0,1,1,0,0,0,2,1,11,4.5,-2
7,Lamar Stevens,20:58,7,12,.583,1,1,1.000,4,4,1.000,1,0,1,2,1,0,1,2,19,14.7,-16
8,Yuta Watanabe,17:04,0,1,.000,0,0,,0,2,.000,0,1,1,0,1,0,2,2,0,-3.0,-20
9,Matthew Hurt,7:14,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,1,0,0,3,3.0,+2
10,Luke Kennard,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,John Konchar,Did Not Play,,,,,,,,,,,,,,,,,,,,
