,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Kyle Kuzma,29:09,13,19,.684,5,7,.714,1,1,1.000,0,7,7,1,1,0,1,2,32,25.9,-16
1,Marvin Bagley III,27:50,5,9,.556,0,0,,0,0,,6,4,10,0,0,0,0,2,10,10.3,-17
2,Deni Avdija,26:21,4,11,.364,2,4,.500,4,5,.800,0,5,5,5,0,0,2,2,14,9.7,-15
3,Tyus Jones,22:45,1,7,.143,0,4,.000,0,0,,0,0,0,9,1,0,1,0,2,3.8,-14
4,Landry Shamet,17:14,2,6,.333,2,6,.333,2,2,1.000,0,1,1,0,1,0,1,2,8,4.1,-9
5,Johnny Davis,24:20,1,4,.250,0,1,.000,0,0,,0,2,2,2,1,0,0,1,2,2.2,-8
6,Corey Kispert,22:36,4,7,.571,1,3,.333,0,1,.000,0,2,2,0,0,1,0,2,9,5.8,-22
7,Jordan Poole,21:24,7,15,.467,1,4,.250,1,1,1.000,0,4,4,4,0,0,1,4,16,9.7,-17
8,Jared Butler,15:09,3,6,.500,0,1,.000,2,2,1.000,1,1,2,7,1,0,1,0,8,10.9,+3
9,Eugene Omoruyi,12:45,4,7,.571,0,1,.000,0,1,.000,0,0,0,0,0,0,1,2,8,2.5,-3
10,Richaun Holmes,7:25,1,3,.333,0,0,,0,0,,1,3,4,0,0,1,1,0,2,1.6,-5
11,Jules Bernard,6:31,1,1,1.000,1,1,1.000,1,2,.500,1,0,1,0,0,0,0,0,4,4.0,-1
12,Justin Champagnie,6:31,0,3,.000,0,2,.000,0,0,,0,1,1,1,0,1,0,0,0,-0.4,-1
13,Anthony Gill,Did Not Play,,,,,,,,,,,,,,,,,,,,
