,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Mikal Bridges,38:33,14,26,.538,5,10,.500,5,5,1.000,2,3,5,2,2,1,2,2,38,29.0,+13
1,Dorian Finney-Smith,35:20,5,7,.714,1,3,.333,0,0,,2,2,4,5,1,0,1,2,11,12.8,+19
2,Dennis Schröder,34:09,4,13,.308,3,4,.750,3,4,.750,0,2,2,8,0,2,2,4,14,10.1,+16
3,Nic Claxton,33:49,6,9,.667,0,0,,0,2,.000,1,12,13,4,2,2,2,2,12,15.0,+13
4,Cameron Johnson,30:48,6,12,.500,4,7,.571,7,7,1.000,1,4,5,1,1,0,1,2,23,18.8,+7
5,Dennis Smith Jr.,21:20,1,6,.167,1,3,.333,0,0,,1,5,6,6,0,1,0,2,3,5.5,+3
6,Jalen Wilson,16:21,1,3,.333,1,2,.500,0,0,,2,2,4,1,0,0,0,3,3,2.8,0
7,Day'Ron Sharpe,13:59,2,4,.500,0,0,,2,4,.500,3,2,5,1,0,2,1,1,6,6.6,-1
8,Lonnie Walker IV,11:05,1,7,.143,0,3,.000,0,0,,0,1,1,0,0,0,1,1,2,-3.6,-2
9,Trendon Watford,2:18,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-4
10,Keita Bates-Diop,2:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
11,Cam Thomas,Did Not Dress,,,,,,,,,,,,,,,,,,,,
