,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Darius Garland,39:34,.679,.679,.571,.000,2.6,9.3,5.6,19.9,2.8,0.0,12.5,19.3,121,123,1.7
1,Jarrett Allen,35:31,.610,.615,.000,.308,2.9,20.8,11.0,28.8,1.5,2.9,6.3,21.2,128,120,4.9
2,Isaac Okoro,34:25,.632,.654,.615,.077,5.9,10.7,8.1,19.1,3.2,3.0,6.9,20.0,124,119,5.6
3,Max Strus,29:32,.333,.333,.667,.000,0.0,4.2,1.9,13.6,1.8,0.0,18.2,17.8,69,126,-12.9
4,Evan Mobley,27:59,.528,.545,.091,.273,14.6,39.6,25.9,35.8,0.0,3.6,14.0,24.4,116,118,2.0
5,Sam Merrill,28:39,.808,.808,1.000,.000,3.6,8.6,5.8,12.3,0.0,0.0,0.0,21.7,148,129,9.0
6,Dean Wade,20:00,.000,.000,1.000,.000,0.0,18.5,8.4,12.3,0.0,10.2,20.0,11.9,28,120,-12.5
7,Georges Niang,15:53,.000,.000,.667,.000,6.4,7.7,7.0,7.7,0.0,0.0,14.3,21.0,22,129,-29.0
8,Craig Porter Jr.,8:26,.500,.500,.000,.000,0.0,14.6,6.6,41.2,6.5,0.0,0.0,22.6,120,112,7.3
9,Sharife Cooper,Did Not Play,,,,,,,,,,,,,,,
10,Ty Jerome,Did Not Dress,,,,,,,,,,,,,,,
11,Damian Jones,Did Not Play,,,,,,,,,,,,,,,
