,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Darius Garland,39:34,7,14,.500,5,8,.625,0,0,,1,3,4,5,2,0,2,1,19,16.7,-6
1,Jarrett Allen,35:31,8,13,.615,0,0,,2,4,.500,1,6,7,6,1,1,1,1,18,18.3,-5
2,Isaac Okoro,34:25,7,13,.538,3,8,.375,0,1,.000,2,3,5,4,2,1,1,1,17,16.7,-4
3,Max Strus,29:32,2,9,.222,2,6,.333,0,0,,0,1,1,3,1,0,2,1,6,1.5,-10
4,Evan Mobley,27:59,6,11,.545,0,1,.000,1,3,.333,4,9,13,6,0,1,2,3,13,14.1,-6
5,Sam Merrill,28:39,7,13,.538,7,13,.538,0,0,,1,2,3,2,0,0,0,3,21,16.2,0
6,Dean Wade,20:00,0,4,.000,0,4,.000,0,0,,0,3,3,2,0,2,1,0,0,-0.1,-5
7,Georges Niang,15:53,0,6,.000,0,4,.000,0,0,,1,1,2,1,0,0,1,1,0,-3.9,-6
8,Craig Porter Jr.,8:26,2,4,.500,0,0,,0,0,,0,1,1,2,1,0,0,0,4,4.7,-3
9,Sharife Cooper,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Ty Jerome,Did Not Dress,,,,,,,,,,,,,,,,,,,,
11,Damian Jones,Did Not Play,,,,,,,,,,,,,,,,,,,,
