,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Tyrese Maxey,39:18,.664,.567,.333,.467,0.0,6.0,2.8,12.1,2.5,0.0,18.1,24.6,114,124,-3.5
1,Tobias Harris,35:12,.674,.658,.316,.211,3.0,13.3,7.8,5.5,1.4,0.0,4.6,27.1,131,124,2.4
2,Kyle Lowry,33:06,.357,.167,.556,.556,3.2,10.6,6.7,26.3,1.5,3.2,0.0,14.8,115,123,-1.5
3,Buddy Hield,28:15,.500,.500,.727,.000,3.7,8.3,5.9,20.5,1.8,3.8,8.3,18.6,111,123,0.1
4,Mo Bamba,14:21,.840,.667,.000,1.333,21.8,16.3,19.2,10.0,0.0,0.0,0.0,14.5,194,126,6.3
5,Nicolas Batum,31:30,.394,.313,.625,.250,6.6,33.4,19.3,12.4,4.8,3.4,0.0,12.3,115,108,3.1
6,Paul Reed,27:58,.945,.917,.167,.333,7.5,20.9,13.8,16.4,1.8,3.8,22.5,13.9,150,119,6.5
7,Kelly Oubre Jr.,25:56,.523,.441,.412,.412,12.1,9.0,10.6,27.4,0.0,4.1,0.0,33.9,128,126,1.4
8,KJ Martin,4:24,,,,,0.0,0.0,0.0,0.0,11.4,0.0,,0.0,0,105,4.5
9,Ricky Council IV,Did Not Play,,,,,,,,,,,,,,,
10,Cameron Payne,Did Not Dress,,,,,,,,,,,,,,,
