,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Kawhi Leonard,37:17,.394,.368,.421,.158,0.0,12.9,6.1,22.0,5.3,3.2,4.7,25.4,86,109,0.3
1,James Harden,37:12,.726,.719,.625,.563,0.0,12.9,6.1,40.7,0.0,3.2,13.1,27.4,131,122,9.8
2,Paul George,36:07,.722,.765,.588,.412,3.0,13.3,7.9,5.6,2.7,0.0,13.0,28.4,113,117,5.6
3,Ivica Zubac,23:41,.615,.500,.000,.500,18.4,35.5,26.5,24.6,0.0,0.0,29.1,12.9,128,120,-0.1
4,Terance Mann,19:13,.410,.250,.000,.500,0.0,18.7,8.9,7.2,0.0,0.0,17.0,13.6,78,123,-12.2
5,Norman Powell,34:17,.338,.313,.750,.250,0.0,10.5,5.0,12.3,2.9,3.5,10.1,12.8,75,115,-5.5
6,Amir Coffey,26:07,.333,.333,.333,.000,0.0,4.6,2.2,5.5,1.9,0.0,14.3,11.9,62,121,-10.5
7,Daniel Theis,15:19,.583,.583,.333,.000,0.0,47.0,22.4,11.4,0.0,0.0,0.0,17.4,114,118,3.0
8,Bones Hyland,10:47,.625,.625,.500,.000,0.0,11.1,5.3,15.8,0.0,0.0,20.0,20.6,96,124,-5.6
9,Brandon Boston Jr.,Did Not Play,,,,,,,,,,,,,,,
10,Xavier Moon,Did Not Play,,,,,,,,,,,,,,,
11,Mason Plumlee,Did Not Play,,,,,,,,,,,,,,,
12,P.J. Tucker,Did Not Play,,,,,,,,,,,,,,,
