,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jayson Tatum,37:31,8,21,.381,5,9,.556,5,6,.833,2,11,13,2,0,0,2,3,26,17.0,-7
1,Jaylen Brown,36:35,8,20,.400,3,7,.429,2,2,1.000,2,1,3,4,0,0,1,3,21,12.5,+9
2,Jrue Holiday,36:13,5,9,.556,2,6,.333,0,0,,2,2,4,5,2,0,4,1,12,10.8,-14
3,Derrick White,35:17,1,5,.200,0,2,.000,1,1,1.000,2,4,6,7,0,4,2,0,3,8.2,+4
4,Kristaps Porziņģis,32:02,9,18,.500,3,6,.500,3,3,1.000,2,7,9,3,2,3,1,2,24,22.9,0
5,Al Horford,19:50,3,8,.375,1,4,.250,0,0,,2,3,5,0,1,0,1,1,7,4.5,-2
6,Luke Kornet,15:38,2,4,.500,0,0,,0,0,,0,3,3,1,0,2,0,1,4,4.6,-2
7,Sam Hauser,14:04,2,5,.400,1,3,.333,0,0,,1,4,5,1,1,0,0,1,5,5.5,+14
8,Payton Pritchard,12:50,1,3,.333,0,1,.000,0,0,,1,4,5,1,0,0,2,1,2,0.5,-7
9,Oshae Brissett,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Svi Mykhailiuk,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Jaden Springer,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Jordan Walsh,Did Not Play,,,,,,,,,,,,,,,,,,,,
