,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Isaiah Stewart,36:22,.658,.611,.444,.222,6.0,13.2,9.4,8.1,1.4,0.0,0.0,12.0,146,126,0.4
1,Ausar Thompson,34:25,.514,.429,.286,.571,0.0,20.9,10.0,8.0,0.0,5.2,0.0,11.2,117,123,-2.2
2,Cade Cunningham,33:54,.539,.500,.400,.150,3.2,10.6,6.7,40.9,0.0,0.0,12.3,31.7,110,129,0.3
3,Jalen Duren,31:55,1.036,1.000,.000,.800,13.7,22.6,17.9,14.3,0.0,0.0,22.8,12.1,169,127,1.4
4,Jaden Ivey,29:14,.465,.400,.333,.333,0.0,8.2,3.9,22.5,1.7,3.0,10.4,29.0,95,123,-4.6
5,Simone Fontecchio,29:11,.635,.594,.750,.188,0.0,16.4,7.8,12.0,1.7,0.0,5.5,27.7,122,124,5.5
6,James Wiseman,16:05,.750,.750,.000,.000,20.3,29.8,24.9,9.9,0.0,0.0,33.3,16.5,114,125,-5.3
7,Evan Fournier,14:47,.335,.300,.800,.100,0.0,16.2,7.7,10.0,0.0,0.0,0.0,31.2,78,128,-16.7
8,Marcus Sasser,14:06,.000,.000,1.000,.000,0.0,8.5,4.1,26.2,7.2,0.0,0.0,9.4,56,113,-4.9
9,Troy Brown Jr.,Did Not Play,,,,,,,,,,,,,,,
10,Malachi Flynn,Did Not Play,,,,,,,,,,,,,,,
11,Quentin Grimes,Did Not Play,,,,,,,,,,,,,,,
