,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Devin Vassell,39:36,9,19,.474,1,5,.200,3,4,.750,2,6,8,3,0,1,3,1,22,14.5,-15
1,Jeremy Sochan,33:36,5,14,.357,1,6,.167,4,4,1.000,3,5,8,3,0,0,2,2,15,10.1,-17
2,Victor Wembanyama,30:30,4,10,.400,2,5,.400,0,0,,2,9,11,3,0,7,6,4,10,8.1,-12
3,Tre Jones,20:51,2,7,.286,0,3,.000,0,0,,1,3,4,5,0,0,1,0,4,4.0,-5
4,Julian Champagnie,10:26,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,0,0,-1.1,-6
5,Keldon Johnson,33:35,5,12,.417,3,5,.600,5,6,.833,1,5,6,2,0,0,1,1,18,13.4,-4
6,Malaki Branham,26:19,8,14,.571,4,7,.571,0,0,,0,1,1,2,0,0,1,2,20,13.3,-2
7,Zach Collins,17:30,2,4,.500,1,1,1.000,1,2,.500,2,4,6,1,0,2,3,1,6,4.9,-1
8,Cedi Osman,15:11,3,4,.750,0,1,.000,0,0,,1,3,4,0,1,0,0,0,6,7.0,-2
9,Blake Wesley,12:26,0,2,.000,0,2,.000,0,0,,0,0,0,5,0,0,0,1,0,1.7,-1
10,Dominick Barlow,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Devonte' Graham,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Sandro Mamukelashvili,Did Not Play,,,,,,,,,,,,,,,,,,,,
