,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Tobias Harris,34:32,.322,.292,.333,.083,2.5,15.4,8.3,12.0,0.0,2.6,7.4,15.3,81,122,-9.5
1,Buddy Hield,30:56,.441,.441,.412,.000,2.8,13.8,7.7,15.7,4.7,2.9,5.6,22.8,98,111,1.6
2,Nicolas Batum,29:37,.683,.583,.333,.500,8.7,10.8,9.6,4.7,1.6,3.0,12.0,11.0,138,119,-1.6
3,Cameron Payne,28:06,.447,.412,.353,.118,9.2,7.6,8.5,23.8,1.7,0.0,0.0,25.0,114,122,-0.1
4,Paul Reed,24:27,.500,.500,.118,.000,17.5,26.2,21.4,25.3,2.0,10.9,5.6,28.9,114,108,4.2
5,Kelly Oubre Jr.,34:28,.501,.381,.333,.429,5.0,6.2,5.5,4.8,2.8,2.6,16.7,34.1,94,119,-5.9
6,Jeff Dowtin,23:58,.714,.714,.571,.000,0.0,13.4,5.9,38.8,6.1,3.7,0.0,11.5,165,108,14.1
7,KJ Martin,20:29,1.215,1.250,.500,1.000,4.2,15.6,9.3,20.5,0.0,4.3,25.8,7.4,179,120,1.0
8,Ricky Council IV,8:59,.105,.000,.667,1.333,0.0,11.9,5.3,0.0,0.0,0.0,17.4,25.2,20,124,-31.9
9,Mo Bamba,4:28,,,,,19.2,23.9,21.3,27.6,0.0,0.0,,0.0,232,120,3.1
10,Terquavion Smith,Did Not Play,,,,,,,,,,,,,,,
