,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Stephen Curry,30:46,10,18,.556,6,10,.600,3,4,.750,2,6,8,5,0,0,2,1,29,24.3,+15
1,Brandin Podziemski,26:16,3,7,.429,2,5,.400,0,0,,1,6,7,3,0,1,1,1,8,8.2,+11
2,Draymond Green,25:05,5,11,.455,2,4,.500,0,1,.000,0,6,6,6,0,2,3,4,12,8.7,+8
3,Jonathan Kuminga,25:00,9,14,.643,2,4,.500,0,0,,1,3,4,2,2,3,2,2,20,18.1,+12
4,Andrew Wiggins,13:42,1,5,.200,1,2,.500,0,0,,1,1,2,2,1,0,1,0,3,2.3,-5
5,Klay Thompson,21:08,4,7,.571,2,5,.400,0,0,,0,2,2,4,0,0,0,1,10,9.7,+17
6,Moses Moody,20:45,3,7,.429,0,0,,0,0,,1,3,4,1,1,1,0,0,6,6.3,+22
7,Chris Paul,19:52,2,5,.400,2,5,.400,0,0,,0,2,2,9,3,0,2,1,6,10.8,+14
8,Trayce Jackson-Davis,18:34,7,8,.875,0,0,,1,2,.500,2,4,6,0,1,4,1,1,15,16.8,+20
9,Gary Payton II,15:55,4,4,1.000,1,1,1.000,0,0,,0,3,3,0,1,1,0,2,9,9.6,+19
10,Kevon Looney,5:57,2,2,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,4,4.4,+6
11,Lester Quinones,4:15,1,2,.500,1,2,.500,0,0,,0,4,4,0,1,0,0,0,3,4.2,+9
12,Jerome Robinson,4:15,0,0,,0,0,,0,0,,0,0,0,2,0,1,1,0,0,1.1,+9
13,Gui Santos,4:15,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+9
14,Dario Šarić,4:15,0,0,,0,0,,0,0,,0,1,1,2,0,0,1,0,0,0.7,+9
