,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Franz Wagner,38:59,.756,.700,.467,.533,0.0,14.7,8.0,7.5,0.0,4.9,5.1,22.8,151,116,5.0
1,Paolo Banchero,38:49,.590,.553,.105,.263,3.5,14.7,9.6,39.1,0.0,2.5,15.9,29.6,122,118,1.8
2,Jalen Suggs,31:55,.738,.708,.833,.167,8.6,14.3,11.7,17.2,1.6,0.0,13.4,21.3,142,116,7.2
3,Goga Bitadze,24:58,.773,.667,.000,.667,11.0,27.5,20.0,9.6,2.0,3.8,43.6,12.6,109,109,0.7
4,Anthony Black,21:53,.800,.800,.600,.000,6.3,0.0,2.8,11.7,4.7,0.0,0.0,10.4,176,113,9.3
5,Cole Anthony,24:38,.442,.417,.250,.083,0.0,32.5,17.7,0.0,0.0,3.9,13.9,26.7,79,113,-12.1
6,Moritz Wagner,21:12,.962,.929,.143,.429,12.9,21.6,17.6,0.0,0.0,0.0,19.4,22.2,153,118,2.1
7,Markelle Fultz,19:27,.375,.375,.000,.000,7.1,5.9,6.4,6.7,0.0,0.0,0.0,18.8,97,122,-10.5
8,Joe Ingles,13:45,,,,,0.0,8.3,4.5,0.0,0.0,0.0,100.0,3.3,0,122,-12.9
9,Caleb Houstan,4:24,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,124,-5.8
10,Wendell Carter Jr.,Did Not Play,,,,,,,,,,,,,,,
11,Chuma Okeke,Did Not Play,,,,,,,,,,,,,,,
12,Admiral Schofield,Did Not Play,,,,,,,,,,,,,,,
