,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jaylen Brown,41:04,16,29,.552,2,7,.286,7,14,.500,6,8,14,4,2,0,2,4,41,32.1,+5
1,Jayson Tatum,38:39,5,13,.385,2,5,.400,3,4,.750,1,3,4,8,2,0,5,4,15,10.1,-2
2,Derrick White,36:57,3,8,.375,0,4,.000,1,1,1.000,1,4,5,6,1,1,1,4,7,7.8,-2
3,Kristaps Porziņģis,35:16,9,23,.391,3,10,.300,3,4,.750,2,10,12,2,1,1,3,2,24,14.8,+6
4,Jrue Holiday,34:55,5,10,.500,2,6,.333,0,0,,1,3,4,2,0,0,1,2,12,8.2,-6
5,Al Horford,18:51,0,2,.000,0,1,.000,2,2,1.000,1,3,4,0,0,0,0,1,2,1.8,-10
6,Xavier Tillman Sr.,13:25,1,2,.500,0,1,.000,0,0,,1,3,4,1,0,0,0,0,2,3.3,-12
7,Payton Pritchard,10:36,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-1
8,Sam Hauser,10:17,2,3,.667,2,3,.667,0,0,,0,0,0,1,0,1,0,0,6,6.1,-8
9,Oshae Brissett,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Luke Kornet,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Svi Mykhailiuk,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Jaden Springer,Did Not Play,,,,,,,,,,,,,,,,,,,,
