,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Ausar Thompson,43:20,.583,.583,.583,.000,6.0,13.5,9.9,9.1,1.1,2.6,20.0,14.7,110,113,-3.2
1,Jaden Ivey,38:50,.828,.765,.529,.471,6.7,3.0,4.8,8.1,2.5,0.0,16.3,26.8,145,113,7.4
2,Cade Cunningham,38:06,.616,.545,.364,.409,3.4,12.3,8.1,45.6,0.0,2.9,16.1,34.4,128,116,5.0
3,Isaiah Stewart,31:35,.820,.750,.250,.500,8.2,29.7,19.5,0.0,0.0,0.0,45.0,11.9,92,116,-6.8
4,Jalen Duren,29:51,.750,.750,.000,.000,13.0,43.1,28.9,19.3,3.2,0.0,27.3,15.6,126,107,4.4
5,Simone Fontecchio,23:12,.286,.286,.286,.000,11.2,20.2,15.9,5.3,0.0,4.8,12.5,14.6,80,114,-9.3
6,Evan Fournier,12:47,.500,.500,.500,.000,0.0,18.3,9.6,9.6,3.8,0.0,33.3,9.9,83,108,-5.5
7,James Wiseman,12:01,.727,.667,.000,.333,10.8,19.5,15.4,0.0,4.0,9.3,12.7,27.8,132,100,3.5
8,Marcus Sasser,5:50,.250,.250,.500,.000,0.0,0.0,0.0,47.3,0.0,0.0,0.0,29.1,93,118,-20.0
9,Malachi Flynn,4:27,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119,-9.0
10,Troy Brown Jr.,Did Not Play,,,,,,,,,,,,,,,
11,Taj Gibson,Did Not Play,,,,,,,,,,,,,,,
12,Stanley Umude,Did Not Play,,,,,,,,,,,,,,,
