,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Miles Bridges,40:43,13,27,.481,1,10,.100,5,5,1.000,1,11,12,4,0,1,0,2,32,25.0,-10
1,Grant Williams,37:57,2,10,.200,1,5,.200,0,3,.000,3,1,4,5,1,1,0,3,5,4.0,-2
2,Vasilije Micić,32:00,6,14,.429,0,5,.000,2,2,1.000,0,3,3,3,0,0,3,1,14,6.2,-13
3,Brandon Miller,30:08,8,19,.421,2,7,.286,3,3,1.000,1,5,6,0,0,1,1,4,21,11.2,-16
4,Nick Richards,30:05,5,6,.833,0,0,,0,0,,5,8,13,0,2,1,2,3,10,13.2,-15
5,Dāvis Bertāns,31:40,4,14,.286,3,10,.300,0,0,,3,3,6,3,2,0,0,2,11,9.1,-7
6,Nick Smith Jr.,16:00,0,6,.000,0,2,.000,0,0,,0,1,1,2,0,0,0,2,0,-3.3,+1
7,JT Thor,11:15,2,2,1.000,2,2,1.000,0,0,,0,2,2,1,0,1,1,1,6,6.0,+6
8,Bryce McGowens,10:12,0,2,.000,0,1,.000,1,2,.500,0,1,1,0,1,0,0,1,1,0.1,-4
9,Marques Bolden,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Tre Mann,Did Not Play,,,,,,,,,,,,,,,,,,,,
