,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Kyle Kuzma,39:56,.546,.478,.304,.261,0.0,16.9,9.4,36.3,1.2,4.1,7.2,30.7,116,101,4.5
1,Richaun Holmes,36:02,1.036,1.000,.000,.800,8.9,18.7,14.4,3.7,1.4,2.3,0.0,8.3,216,101,2.7
2,Deni Avdija,35:03,.587,.607,.143,.214,9.1,26.4,18.8,8.5,0.0,4.7,6.1,20.7,119,100,0.2
3,Bilal Coulibaly,27:05,.698,.643,.571,.286,3.9,9.3,7.0,0.0,1.8,3.1,20.2,16.2,111,104,-4.2
4,Tyus Jones,21:45,.500,.500,.571,.000,0.0,15.5,8.7,24.3,0.0,3.8,12.5,16.3,104,105,-4.6
5,Jordan Poole,34:05,.419,.412,.588,.118,3.1,9.9,6.9,28.5,2.9,7.3,18.3,28.5,85,98,-2.0
6,Corey Kispert,30:00,.674,.500,.714,.857,0.0,11.2,6.3,8.4,0.0,0.0,0.0,14.3,149,109,-1.7
7,Johnny Davis,7:31,.000,.000,.000,.000,14.2,11.2,12.5,0.0,0.0,11.0,50.0,11.8,38,101,-15.2
8,Eugene Omoruyi,6:10,.400,.400,.200,.000,17.3,13.7,15.3,0.0,0.0,0.0,0.0,36.0,92,107,-17.7
9,Anthony Gill,2:23,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,200,114,7.9
10,Patrick Baldwin Jr.,Did Not Play,,,,,,,,,,,,,,,
11,Jules Bernard,Did Not Play,,,,,,,,,,,,,,,
12,R.J. Hampton,Did Not Play,,,,,,,,,,,,,,,
