,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Giannis Antetokounmpo,38:41,14,23,.609,1,3,.333,5,7,.714,2,12,14,12,1,1,4,2,34,33.0,-4
1,Damian Lillard,38:27,10,23,.435,4,12,.333,4,4,1.000,0,5,5,12,0,0,1,2,28,24.0,+13
2,Malik Beasley,34:09,5,12,.417,4,9,.444,0,0,,1,3,4,2,1,0,1,3,14,9.4,+11
3,Brook Lopez,31:36,4,6,.667,3,3,1.000,0,0,,0,3,3,1,0,1,0,2,11,9.9,+13
4,Jae Crowder,21:13,1,5,.200,0,2,.000,2,2,1.000,1,2,3,0,1,0,0,2,4,2.4,-3
5,Pat Connaughton,30:31,6,7,.857,4,5,.800,1,2,.500,1,5,6,1,0,0,0,1,17,16.6,-2
6,Bobby Portis,25:43,6,13,.462,0,4,.000,2,2,1.000,1,7,8,0,0,0,0,2,14,9.3,-11
7,Patrick Beverley,16:28,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,2,0,-2.9,-16
8,Danilo Gallinari,3:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-6
9,Thanasis Antetokounmpo,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,MarJon Beauchamp,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,A.J. Green,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Andre Jackson Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
