,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Brandin Podziemski,30:37,2,7,.286,1,1,1.000,3,4,.750,4,2,6,7,1,1,2,0,8,11.5,-8
1,Jonathan Kuminga,30:21,10,17,.588,0,1,.000,6,8,.750,0,3,3,2,1,0,2,4,26,17.0,-8
2,Chris Paul,29:13,4,9,.444,2,3,.667,0,0,,0,4,4,9,3,0,0,1,10,15.4,-3
3,Draymond Green,27:54,3,6,.500,1,3,.333,0,0,,2,3,5,4,2,1,3,2,7,8.0,-8
4,Trayce Jackson-Davis,23:40,5,5,1.000,0,0,,1,5,.200,1,5,6,0,1,3,1,4,11,10.6,-5
5,Moses Moody,26:16,2,11,.182,0,6,.000,5,6,.833,1,4,5,0,0,1,1,2,9,2.5,-9
6,Andrew Wiggins,26:14,5,12,.417,1,3,.333,0,0,,1,5,6,1,1,0,0,3,11,7.3,-6
7,Klay Thompson,24:51,8,16,.500,5,10,.500,6,6,1.000,0,2,2,1,0,1,3,4,27,16.4,+2
8,Lester Quinones,8:58,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,1,2,0.2,-11
9,Gui Santos,5:31,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,+1
10,Dario Šarić,3:13,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,2,2,0.2,-6
11,Jerome Robinson,1:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
12,Pat Spencer,1:36,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-2
13,Kevon Looney,Did Not Play,,,,,,,,,,,,,,,,,,,,
