,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Domantas Sabonis,39:36,.916,.909,.000,.545,5.6,36.6,21.1,36.1,3.7,4.4,39.8,25.4,113,104,11.0
1,De'Aaron Fox,33:31,.411,.381,.429,.095,0.0,30.0,15.0,4.9,1.4,2.6,0.0,29.0,85,111,-4.3
2,Keegan Murray,32:17,.462,.273,.455,.636,3.5,17.3,10.4,0.0,3.0,2.7,0.0,19.4,103,110,-2.6
3,Kevin Huerter,25:08,.429,.429,.429,.000,0.0,13.3,6.7,17.2,3.8,3.5,12.5,14.1,87,107,-2.7
4,Harrison Barnes,21:08,.363,.333,.167,.333,0.0,5.3,2.6,0.0,0.0,0.0,0.0,14.5,75,120,-12.3
5,Malik Monk,27:19,.592,.563,.500,.125,8.2,8.2,8.2,35.2,3.5,0.0,0.0,27.4,129,112,10.4
6,Trey Lyles,20:08,.525,.333,.000,1.333,5.5,5.5,5.5,0.0,0.0,0.0,17.4,12.7,99,120,-9.0
7,Davion Mitchell,18:13,.571,.571,.714,.000,6.1,6.1,6.1,25.4,0.0,0.0,12.5,19.5,111,120,0.6
8,Keon Ellis,17:43,.000,.000,.500,.000,0.0,6.3,3.2,20.8,0.0,0.0,0.0,5.0,65,120,-7.2
9,Alex Len,4:57,1.000,1.000,.000,.000,0.0,22.6,11.3,49.5,0.0,0.0,0.0,17.9,203,118,18.1
10,Chris Duarte,Did Not Play,,,,,,,,,,,,,,,
11,Kessler Edwards,Did Not Play,,,,,,,,,,,,,,,
12,Mason Jones,Did Not Play,,,,,,,,,,,,,,,
13,JaVale McGee,Did Not Play,,,,,,,,,,,,,,,
