,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,GG Jackson II,37:32,.666,.605,.526,.421,8.3,9.8,9.0,20.0,0.0,2.8,4.3,28.4,134,134,6.3
1,Jaren Jackson Jr.,28:04,.592,.550,.500,.800,3.7,4.4,4.0,13.6,0.0,3.7,22.8,28.3,94,135,-6.1
2,Santi Aldama,26:51,.518,.400,.400,.800,3.9,22.9,12.6,18.9,0.0,7.8,0.0,11.4,128,128,0.4
3,Jake LaRavia,24:13,.604,.556,.444,.444,0.0,5.1,2.3,32.9,4.1,0.0,8.5,22.0,120,127,3.4
4,Luke Kennard,22:55,.250,.250,1.000,.000,0.0,10.7,4.9,14.0,2.2,0.0,25.0,15.8,50,131,-14.2
5,Lamar Stevens,30:18,.375,.375,.167,.000,3.4,8.1,5.6,0.0,1.7,0.0,20.0,22.4,61,133,-16.0
6,DeJon Jarreau,28:05,.389,.389,.222,.000,0.0,43.8,20.1,31.8,5.4,0.0,18.2,17.8,82,117,0.1
7,Wenyen Gabriel,21:09,.475,.600,.400,.600,0.0,29.1,13.4,0.0,2.4,0.0,24.0,17.8,62,127,-10.7
8,Trey Jemison,20:53,.333,.333,.000,.000,10.0,11.8,10.8,15.5,0.0,0.0,25.0,8.7,91,136,-8.2
9,John Konchar,Did Not Dress,,,,,,,,,,,,,,,
10,Vince Williams Jr.,Did Not Dress,,,,,,,,,,,,,,,
11,Ziaire Williams,Did Not Dress,,,,,,,,,,,,,,,
