,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Miles Bridges,40:25,9,24,.375,3,9,.333,3,5,.600,1,6,7,3,1,0,2,1,24,13.2,-19
1,Nick Richards,35:36,5,7,.714,0,0,,0,2,.000,4,9,13,2,0,0,1,1,10,11.8,-8
2,Brandon Miller,35:19,7,17,.412,3,10,.300,2,3,.667,1,4,5,7,1,1,0,2,19,17.2,-8
3,Vasilije Micić,32:52,3,7,.429,3,5,.600,2,2,1.000,1,4,5,7,1,0,2,3,11,11.9,-8
4,Grant Williams,32:02,6,13,.462,2,5,.400,8,9,.889,0,4,4,2,2,0,5,5,22,12.5,-18
5,Dāvis Bertāns,26:07,2,8,.250,2,7,.286,1,2,.500,1,0,1,2,2,0,1,1,7,4.5,-15
6,Nick Smith Jr.,15:08,0,4,.000,0,2,.000,0,0,,0,2,2,1,0,0,1,2,0,-3.3,-9
7,JT Thor,11:57,1,4,.250,0,2,.000,0,0,,0,2,2,1,0,0,0,1,2,0.5,-12
8,Aleksej Pokusevski,10:34,1,4,.250,0,0,,0,0,,1,0,1,2,0,1,0,0,2,2.4,+12
9,Amari Bailey,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Tre Mann,Did Not Dress,,,,,,,,,,,,,,,,,,,,
11,Bryce McGowens,Did Not Dress,,,,,,,,,,,,,,,,,,,,
