,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Simone Fontecchio,37:07,.773,.773,.636,.000,0.0,20.3,11.4,12.1,2.6,2.7,15.4,15.5,127,95,4.2
1,Isaiah Stewart,33:39,.607,.556,.778,.222,0.0,16.8,9.4,0.0,0.0,3.0,0.0,13.0,124,102,-3.0
2,Jaden Ivey,32:52,.407,.308,.462,.308,3.7,5.7,4.8,16.6,1.5,3.0,6.3,21.2,97,102,-5.5
3,Cade Cunningham,32:18,.506,.450,.500,.200,0.0,17.5,9.8,40.8,1.5,0.0,8.4,32.5,110,101,1.1
4,Jalen Duren,30:19,.791,.800,.000,.600,15.8,18.6,17.4,5.6,1.6,3.3,19.2,22.8,131,98,2.4
5,Quentin Grimes,21:27,.307,.125,.750,.500,5.6,13.2,9.8,17.3,2.3,0.0,9.3,22.2,83,100,-10.1
6,Marcus Sasser,19:34,.922,.875,.250,.500,0.0,9.6,5.4,29.2,0.0,0.0,38.1,17.8,119,106,-1.4
7,James Wiseman,17:41,.727,.667,.000,.333,20.4,31.9,26.8,9.0,0.0,5.7,0.0,17.2,164,96,6.2
8,Evan Fournier,11:16,.375,.375,1.000,.000,0.0,8.4,4.7,23.2,8.7,0.0,0.0,15.7,101,86,3.8
9,Stanley Umude,3:47,1.500,1.500,1.000,.000,0.0,49.8,27.9,0.0,0.0,0.0,0.0,11.7,300,93,18.1
10,Troy Brown Jr.,Did Not Play,,,,,,,,,,,,,,,
11,Malachi Flynn,Did Not Play,,,,,,,,,,,,,,,
12,Taj Gibson,Did Not Play,,,,,,,,,,,,,,,
13,Ausar Thompson,Did Not Dress,,,,,,,,,,,,,,,
