,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Jamal Murray,39:06,.613,.632,.316,.263,2.9,11.7,7.3,38.3,0.0,3.9,4.5,24.4,136,125,5.9
1,Nikola Jokić,38:06,.611,.558,.115,.231,18.0,33.0,25.5,44.0,7.7,4.0,6.5,34.5,139,102,21.5
2,Michael Porter Jr.,32:52,.638,.643,.429,.143,10.4,17.4,13.9,10.9,1.5,2.3,0.0,19.4,141,121,2.2
3,Kentavious Caldwell-Pope,32:28,.250,.250,.500,.000,0.0,7.0,3.5,17.6,1.5,0.0,25.0,10.6,77,125,-10.7
4,Aaron Gordon,30:41,.921,.944,.222,.333,0.0,7.4,3.7,4.0,0.0,0.0,8.8,15.8,158,129,-0.6
5,Christian Braun,19:15,.417,.417,.500,.000,0.0,11.9,5.9,10.6,0.0,4.0,14.3,15.6,86,124,-10.3
6,Peyton Watson,15:23,.717,.875,.250,.500,0.0,37.1,18.6,0.0,0.0,5.0,17.0,16.4,96,117,-5.1
7,Reggie Jackson,14:32,.500,.500,.556,.000,7.9,0.0,3.9,0.0,0.0,0.0,0.0,26.6,107,130,-12.6
8,Zeke Nnaji,9:12,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,8.3,0.0,9.3,102,124,-7.6
9,Justin Holiday,8:25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.1,0,130,-17.5
10,Collin Gillespie,Did Not Play,,,,,,,,,,,,,,,
11,Jay Huff,Did Not Play,,,,,,,,,,,,,,,
12,DeAndre Jordan,Did Not Play,,,,,,,,,,,,,,,
13,Julian Strawther,Did Not Play,,,,,,,,,,,,,,,
