,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Jrue Holiday,37:42,.621,.583,.583,.167,3.0,12.4,7.6,28.8,2.8,2.4,7.2,16.3,148,116,6.4
1,Derrick White,35:04,.688,.676,.647,.059,0.0,20.0,9.8,12.8,1.5,7.6,14.7,25.8,123,113,6.7
2,Sam Hauser,34:13,.538,.538,.846,.000,3.3,13.7,8.4,7.8,1.6,5.2,0.0,16.8,129,117,0.1
3,Jayson Tatum,34:00,.666,.600,.400,.320,6.6,13.8,10.1,11.5,0.0,2.6,9.5,41.1,131,122,5.1
4,Luke Kornet,28:13,.685,.571,.000,.571,15.8,20.7,18.2,28.2,0.0,3.2,0.0,13.8,180,120,8.8
5,Xavier Tillman Sr.,26:31,.700,.700,.200,.000,16.8,17.7,17.2,4.8,2.0,0.0,0.0,8.4,175,119,2.2
6,Payton Pritchard,25:17,.388,.333,.750,.167,0.0,9.3,4.5,10.2,0.0,0.0,7.2,24.3,92,126,-15.2
7,Oshae Brissett,16:45,.532,1.000,.000,2.000,13.3,21.0,17.1,7.1,0.0,0.0,0.0,5.0,148,123,-2.9
8,JD Davison,0:46,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,128,-11.4
9,Jaden Springer,0:46,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,128,-9.6
10,Svi Mykhailiuk,0:43,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,128,-10.2
11,Neemias Queta,Did Not Play,,,,,,,,,,,,,,,
