,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Keyonte George,35:07,9,17,.529,5,10,.500,3,4,.750,0,1,1,6,0,2,3,5,26,18.2,-26
1,Collin Sexton,31:17,9,16,.563,1,4,.250,1,1,1.000,5,2,7,5,0,1,5,5,20,13.7,-8
2,John Collins,29:19,2,9,.222,2,4,.500,4,4,1.000,0,4,4,0,0,2,1,1,10,5.7,-4
3,Brice Sensabaugh,23:03,1,5,.200,0,2,.000,0,0,,0,4,4,4,0,0,0,1,2,2.5,+1
4,Luka Šamanić,14:19,2,4,.500,1,1,1.000,2,2,1.000,1,6,7,1,0,0,0,0,7,8.2,+5
5,Jordan Clarkson,33:41,10,18,.556,1,4,.250,0,0,,0,0,0,2,1,0,1,3,21,12.6,-21
6,Kris Dunn,24:25,2,6,.333,2,3,.667,0,0,,0,3,3,4,1,1,0,2,6,7.2,+1
7,Walker Kessler,18:41,1,1,1.000,0,0,,0,0,,3,5,8,1,0,1,0,0,2,6.7,-12
8,Talen Horton-Tucker,17:16,2,7,.286,1,2,.500,0,0,,0,2,2,0,2,0,0,0,5,3.5,-11
9,Micah Potter,12:52,3,3,1.000,2,2,1.000,0,0,,0,2,2,0,0,0,0,1,8,7.3,-5
10,Johnny Juzang,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Kira Lewis Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Kenneth Lofton Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Omer Yurtseven,Did Not Play,,,,,,,,,,,,,,,,,,,,
