,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Damian Lillard,33:02,2,12,.167,1,6,.167,5,6,.833,0,5,5,6,1,1,2,2,10,6.6,-22
1,Giannis Antetokounmpo,32:53,10,17,.588,0,2,.000,10,14,.714,1,12,13,4,1,0,4,3,30,23.4,-18
2,Brook Lopez,25:56,2,7,.286,1,4,.250,2,2,1.000,3,1,4,0,0,1,2,1,7,3.6,-21
3,Malik Beasley,25:00,4,13,.308,3,11,.273,0,0,,0,3,3,2,0,0,2,1,11,3.4,-19
4,Jae Crowder,15:56,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,1,0,2.0,-21
5,Patrick Beverley,26:39,1,4,.250,0,3,.000,2,3,.667,0,2,2,4,0,0,0,3,4,3.4,-15
6,Pat Connaughton,22:55,2,9,.222,1,7,.143,2,2,1.000,3,1,4,1,0,0,1,1,7,3.2,-10
7,Bobby Portis,20:41,4,7,.571,0,0,,3,4,.750,0,7,7,1,0,0,0,3,11,8.9,-11
8,A.J. Green,17:04,1,6,.167,1,4,.250,0,0,,0,1,1,1,0,0,0,2,3,-0.6,-17
9,Danilo Gallinari,6:38,2,4,.500,0,2,.000,3,4,.750,0,0,0,0,0,0,0,0,7,4.6,-7
10,Thanasis Antetokounmpo,6:38,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-0.1,-7
11,Andre Jackson Jr.,6:38,1,1,1.000,0,0,,0,0,,3,1,4,2,0,0,1,0,2,4.5,-7
