,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Cam Thomas,38:46,9,19,.474,1,4,.250,2,3,.667,1,7,8,4,1,0,2,5,21,13.5,-4
1,Nic Claxton,29:57,5,8,.625,0,0,,0,0,,2,3,5,5,0,2,1,2,10,11.8,-4
2,Mikal Bridges,29:43,5,13,.385,1,2,.500,6,7,.857,1,3,4,1,0,1,2,1,17,10.1,-13
3,Dennis Schröder,29:00,3,8,.375,1,4,.250,6,6,1.000,0,1,1,3,1,0,4,3,13,6.8,-20
4,Dorian Finney-Smith,24:44,2,8,.250,0,5,.000,2,2,1.000,1,2,3,2,2,0,0,3,6,4.7,-17
5,Cameron Johnson,28:41,4,7,.571,2,4,.500,3,3,1.000,0,3,3,2,1,0,2,2,13,10.2,+4
6,Dennis Smith Jr.,18:23,4,7,.571,2,5,.400,0,0,,2,1,3,2,2,0,0,0,10,11.8,+8
7,Jalen Wilson,14:29,1,4,.250,0,2,.000,1,2,.500,1,1,2,2,0,0,0,1,3,2.2,-1
8,Day'Ron Sharpe,13:56,1,2,.500,0,0,,3,4,.750,0,2,2,0,0,0,1,2,5,2.4,-3
9,Lonnie Walker IV,7:31,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,+2
10,Trendon Watford,2:25,3,3,1.000,0,0,,0,0,,0,1,1,0,0,1,0,0,6,6.1,+4
11,Keita Bates-Diop,2:25,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+4
