,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,DeMar DeRozan,44:08,.731,.646,.250,.708,0.0,21.6,11.4,12.0,2.2,2.2,6.0,34.3,142,116,11.5
1,Nikola Vučević,43:10,.429,.429,.286,.000,2.7,27.0,15.5,9.1,1.1,0.0,6.7,15.7,93,118,-5.7
2,Ayo Dosunmu,43:02,.683,.625,.333,.500,0.0,9.9,5.2,9.4,0.0,4.6,12.0,17.5,125,121,-0.5
3,Alex Caruso,36:44,.885,.885,.462,.000,3.2,17.3,10.6,28.8,1.3,0.0,7.1,17.3,168,120,13.3
4,Coby White,36:20,.409,.382,.176,.176,6.5,5.8,6.1,11.2,2.7,2.7,5.2,24.1,93,117,-4.6
5,Torrey Craig,21:57,.850,.800,.800,.400,5.4,19.3,12.7,11.8,0.0,0.0,14.5,14.2,152,123,4.0
6,Onuralp Bitim,12:58,1.000,1.000,.000,.000,0.0,8.2,4.3,9.3,0.0,0.0,50.0,7.0,104,125,-2.6
7,Julian Phillips,11:11,.000,.000,.500,.000,0.0,9.5,5.0,0.0,0.0,8.8,33.3,12.1,0,118,-16.4
8,Andre Drummond,9:53,.307,.250,.000,.500,11.9,32.2,22.6,0.0,0.0,0.0,17.0,26.9,66,119,-22.8
9,Dalen Terry,5:37,.568,,,,21.0,0.0,9.9,0.0,0.0,0.0,0.0,7.1,158,127,-2.7
10,Jevon Carter,Did Not Play,,,,,,,,,,,,,,,
11,Terry Taylor,Did Not Play,,,,,,,,,,,,,,,
