,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Jimmy Butler,35:51,.444,.406,.125,.125,9.6,6.5,8.1,10.3,0.0,2.7,5.6,25.0,98,117,-2.0
1,Terry Rozier,34:50,.504,.462,.231,.154,3.3,10.1,6.6,21.4,1.6,0.0,12.6,22.8,100,115,-0.6
2,Bam Adebayo,34:21,.507,.500,.067,.267,3.3,40.9,21.9,17.3,1.6,2.9,0.0,24.4,111,107,7.5
3,Duncan Robinson,30:46,.550,.550,.600,.000,0.0,22.8,11.3,17.9,1.8,0.0,9.1,17.9,106,112,1.0
4,Nikola Jović,15:35,.500,.500,.667,.000,0.0,7.5,3.7,10.0,3.5,0.0,25.0,12.8,80,111,-2.2
5,Jaime Jaquez Jr.,28:10,.515,.333,.167,.667,0.0,8.3,4.1,0.0,0.0,0.0,11.4,15.6,97,119,-8.2
6,Caleb Martin,25:24,.571,.500,.429,.286,4.5,4.6,4.6,6.7,0.0,0.0,11.3,17.5,110,120,-2.1
7,Patty Mills,13:52,.167,.167,.500,.000,0.0,25.3,12.5,34.0,4.0,0.0,14.3,25.3,50,107,-8.2
8,Thomas Bryant,13:39,.781,.750,.000,1.000,16.7,34.3,25.4,0.0,0.0,0.0,0.0,21.1,166,114,9.8
9,Haywood Highsmith,7:32,,,,,0.0,0.0,0.0,18.7,0.0,0.0,,0.0,215,120,-3.6
10,Orlando Robinson,Did Not Play,,,,,,,,,,,,,,,
11,Cole Swider,Did Not Play,,,,,,,,,,,,,,,
12,Delon Wright,Did Not Play,,,,,,,,,,,,,,,
