,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Immanuel Quickley,35:36,8,19,.421,2,8,.250,7,8,.875,0,5,5,8,1,1,0,2,25,22.5,-9
1,Bruce Brown,33:00,8,12,.667,0,0,,1,2,.500,0,4,4,5,2,1,0,2,17,18.0,-16
2,Gradey Dick,32:23,4,13,.308,1,6,.167,0,0,,0,3,3,1,1,0,2,2,9,1.3,-3
3,Kelly Olynyk,30:36,8,11,.727,2,4,.500,1,2,.500,2,4,6,8,2,2,6,4,19,18.1,-8
4,Ochai Agbaji,26:10,0,3,.000,0,1,.000,0,0,,0,1,1,3,2,0,1,2,0,0.5,-8
5,Jordan Nwora,21:04,5,11,.455,2,6,.333,0,0,,0,2,2,0,3,0,1,1,12,8.5,-3
6,Jalen McDaniels,20:56,4,11,.364,0,2,.000,0,1,.000,0,3,3,1,0,0,1,4,8,0.5,+5
7,Jontay Porter,20:49,3,6,.500,2,5,.400,2,4,.500,0,6,6,6,1,4,0,2,10,15.2,+7
8,Jahmi'us Ramsey,19:26,1,7,.143,0,4,.000,2,2,1.000,1,6,7,0,1,0,0,1,4,2.6,-10
9,Javon Freeman-Liberty,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Garrett Temple,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Gary Trent Jr.,Did Not Dress,,,,,,,,,,,,,,,,,,,,
