,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Alex Caruso,35:48,5,13,.385,5,8,.625,2,2,1.000,0,3,3,6,3,0,3,2,17,14.2,-25
1,DeMar DeRozan,35:42,6,16,.375,2,5,.400,7,8,.875,1,4,5,4,0,0,5,2,21,10.7,-13
2,Nikola Vučević,35:22,8,14,.571,2,4,.500,1,1,1.000,3,3,6,5,0,0,1,2,19,17.1,-22
3,Ayo Dosunmu,34:51,2,11,.182,1,5,.200,2,2,1.000,2,2,4,4,0,0,3,2,7,1.1,-24
4,Torrey Craig,27:01,4,8,.500,4,7,.571,0,2,.000,0,6,6,1,0,0,0,1,12,9.3,-8
5,Jevon Carter,17:27,5,7,.714,2,3,.667,0,0,,1,2,3,2,1,1,1,2,12,11.7,+11
6,Onuralp Bitim,16:55,1,2,.500,0,1,.000,0,0,,0,0,0,2,0,0,0,1,2,2.0,-2
7,Andre Drummond,16:18,7,8,.875,0,0,,1,1,1.000,3,4,7,1,0,1,0,2,15,16.1,+2
8,Dalen Terry,13:25,2,4,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,4,2.3,-4
9,Henri Drell,2:53,1,2,.500,0,1,.000,0,0,,1,0,1,2,0,0,0,0,2,3.1,+3
10,Terry Taylor,2:53,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,+3
11,Andrew Funk,1:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
