,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Miles Bridges,38:10,6,18,.333,0,5,.000,5,7,.714,2,8,10,3,0,0,2,2,17,9.1,-18
1,Tre Mann,35:32,4,10,.400,1,5,.200,3,5,.600,1,3,4,7,1,0,0,2,12,12.5,-1
2,Vasilije Micić,30:39,7,12,.583,0,2,.000,7,9,.778,1,0,1,3,0,1,1,1,21,16.7,-10
3,Brandon Miller,28:41,4,15,.267,2,8,.250,4,5,.800,1,3,4,1,2,1,0,4,14,8.1,-7
4,Nick Richards,27:52,1,5,.200,0,0,,0,0,,2,13,15,0,0,0,0,4,2,2.6,+7
5,Grant Williams,32:23,8,17,.471,3,8,.375,1,1,1.000,3,3,6,1,1,0,0,0,20,16.0,0
6,Dāvis Bertāns,25:59,1,5,.200,0,4,.000,0,0,,0,2,2,2,1,0,1,2,2,0.1,-13
7,Aleksej Pokusevski,16:17,2,9,.222,0,4,.000,0,0,,2,3,5,3,1,1,0,1,4,4.2,-19
8,Nick Smith Jr.,1:29,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,0,0,4,3.0,+2
9,Amari Bailey,1:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
10,JT Thor,1:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
11,Bryce McGowens,Did Not Dress,,,,,,,,,,,,,,,,,,,,
