,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Cam Thomas,31:59,7,16,.438,2,6,.333,6,6,1.000,2,6,8,2,0,0,5,3,22,12.0,-4
1,Dennis Schröder,30:41,4,13,.308,2,4,.500,3,4,.750,0,2,2,5,1,0,4,1,13,5.8,-14
2,Mikal Bridges,29:16,1,8,.125,1,4,.250,4,4,1.000,3,4,7,4,0,0,1,0,7,6.9,-11
3,Dorian Finney-Smith,25:58,5,5,1.000,2,2,1.000,0,0,,1,3,4,0,1,0,0,4,12,11.5,-7
4,Nic Claxton,25:10,4,6,.667,0,0,,1,3,.333,2,8,10,1,1,2,0,2,9,11.7,-8
5,Cameron Johnson,26:39,4,11,.364,3,7,.429,3,4,.750,1,3,4,2,2,0,2,0,14,10.5,-14
6,Trendon Watford,19:06,3,6,.500,0,0,,6,7,.857,0,0,0,1,2,1,1,1,12,10.6,-15
7,Day'Ron Sharpe,13:38,1,1,1.000,0,0,,1,3,.333,3,4,7,1,1,0,4,2,3,2.1,-6
8,Lonnie Walker IV,13:35,1,4,.250,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-0.1,-7
9,Dennis Smith Jr.,11:25,2,4,.500,0,1,.000,0,0,,0,0,0,2,0,0,1,3,4,1.2,-4
10,Jalen Wilson,4:31,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-7
11,Noah Clowney,4:06,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,0,0,-2.4,-5
12,Keita Bates-Diop,3:56,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-3
