,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,D'Angelo Russell,40:09,9,21,.429,3,10,.300,2,2,1.000,1,2,3,13,1,0,0,2,23,22.5,-14
1,LeBron James,37:42,15,23,.652,3,5,.600,7,8,.875,3,5,8,9,1,1,4,1,40,36.7,-6
2,Austin Reaves,34:21,4,13,.308,2,9,.222,1,1,1.000,0,3,3,3,0,0,3,0,11,3.5,-5
3,Rui Hachimura,29:31,7,10,.700,0,2,.000,0,0,,0,4,4,2,0,1,0,3,14,11.9,-4
4,Anthony Davis,11:57,3,6,.500,0,0,,2,2,1.000,1,3,4,2,1,1,0,0,8,9.7,+6
5,Taurean Prince,29:40,3,8,.375,2,5,.400,0,0,,1,1,2,3,0,1,0,1,8,7.0,-7
6,Jaxson Hayes,28:02,3,5,.600,0,0,,1,3,.333,2,10,12,0,0,0,2,3,7,5.1,-8
7,Spencer Dinwiddie,19:08,2,2,1.000,1,1,1.000,2,2,1.000,0,2,2,0,0,0,0,2,7,6.2,+5
8,Max Christie,9:30,1,4,.250,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,0.5,-2
9,Harry Giles,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Maxwell Lewis,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Skylar Mays,Did Not Play,,,,,,,,,,,,,,,,,,,,
