,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Anthony Edwards,35:12,12,20,.600,5,7,.714,2,3,.667,1,9,10,5,3,3,4,1,31,29.0,+16
1,Naz Reid,34:54,7,18,.389,4,11,.364,4,5,.800,0,12,12,5,2,2,0,1,22,21.9,+17
2,Kyle Anderson,31:12,1,6,.167,0,0,,2,2,1.000,1,4,5,9,2,1,0,3,4,9.9,+19
3,Mike Conley,30:12,8,12,.667,5,8,.625,4,5,.800,1,1,2,2,0,0,0,1,25,21.4,+4
4,Jaden McDaniels,21:41,4,9,.444,0,2,.000,0,0,,0,1,1,0,0,0,1,5,8,0.6,+9
5,Nickeil Alexander-Walker,26:33,3,7,.429,2,5,.400,0,0,,1,4,5,2,0,0,2,1,8,5.2,+12
6,T.J. Warren,16:02,1,7,.143,0,1,.000,0,0,,1,3,4,2,1,0,0,2,2,0.7,+2
7,Jordan McLaughlin,15:59,1,2,.500,1,2,.500,0,0,,1,1,2,4,0,0,0,0,3,5.8,+9
8,Luka Garza,13:06,4,9,.444,1,4,.250,0,0,,1,2,3,0,0,0,0,2,9,4.8,+2
9,Monte Morris,10:21,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,+2
10,Josh Minott,1:36,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,4.4,+1
11,Leonard Miller,1:36,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,+1
12,Wendell Moore Jr.,1:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
