,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Bam Adebayo,37:33,.720,.731,.077,.154,10.7,38.6,23.9,13.5,1.4,0.0,17.8,20.5,125,106,3.6
1,Terry Rozier,35:36,.425,.425,.300,.000,0.0,18.8,8.9,41.5,1.5,0.0,0.0,25.7,109,110,0.9
2,Duncan Robinson,35:25,.919,.900,.800,.200,0.0,12.6,6.0,25.6,0.0,0.0,15.5,24.9,149,114,13.3
3,Jaime Jaquez Jr.,34:39,.476,.464,.214,.286,8.7,0.0,4.6,17.5,1.5,2.9,6.0,22.1,109,111,-1.0
4,Haywood Highsmith,25:28,.218,.167,.500,.333,7.9,0.0,4.1,4.9,0.0,0.0,0.0,12.3,75,117,-14.7
5,Caleb Martin,30:37,.506,.444,.667,.222,3.3,21.9,12.1,0.0,1.7,3.3,16.8,17.7,89,106,-5.4
6,Delon Wright,20:41,.429,.429,.000,.000,4.8,10.8,7.7,0.0,5.0,0.0,0.0,15.5,95,103,-2.9
7,Thomas Bryant,10:27,.532,.000,.000,2.000,0.0,42.7,20.2,11.5,0.0,0.0,0.0,8.2,138,108,-2.6
8,Patty Mills,9:34,.113,.000,1.000,.250,0.0,11.7,5.5,12.5,5.4,0.0,0.0,21.2,41,102,-15.8
9,Jimmy Butler,Did Not Dress,,,,,,,,,,,,,,,
10,Jamal Cain,Did Not Play,,,,,,,,,,,,,,,
11,Nikola Jović,Did Not Dress,,,,,,,,,,,,,,,
12,Orlando Robinson,Did Not Play,,,,,,,,,,,,,,,
