,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Tyrese Maxey,41:09,.573,.521,.417,.208,0.0,18.7,9.8,48.3,1.2,2.1,10.3,33.3,115,96,6.5
1,Kelly Oubre Jr.,38:34,.579,.579,.316,.000,5.5,22.4,14.4,15.2,0.0,11.1,9.5,25.6,108,92,6.4
2,Nicolas Batum,37:56,.250,.250,.250,.000,2.8,17.7,10.7,3.5,2.7,2.3,20.0,6.2,62,93,-6.7
3,Kyle Lowry,35:14,.643,.625,.417,.083,0.0,10.9,5.7,4.7,2.9,2.4,0.0,16.6,125,95,3.3
4,Mo Bamba,18:33,.800,.800,.600,.000,5.8,15.5,10.9,26.6,5.4,9.2,16.7,15.2,140,83,16.1
5,Buddy Hield,24:05,.551,.500,.700,.200,4.4,4.0,4.2,6.9,0.0,3.6,8.4,23.1,105,104,-1.9
6,Paul Reed,21:50,.340,.200,.200,.400,9.8,22.0,16.2,6.3,0.0,3.9,14.5,14.8,84,97,-8.1
7,Cameron Payne,15:52,.300,.300,.600,.000,0.0,12.1,6.4,26.7,0.0,0.0,28.6,20.7,63,103,-12.6
8,KJ Martin,6:45,.266,.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,34.7,20.0,36,106,-26.4
9,Ricky Council IV,Did Not Play,,,,,,,,,,,,,,,
10,Tobias Harris,Did Not Dress,,,,,,,,,,,,,,,
11,Kai Jones,Did Not Dress,,,,,,,,,,,,,,,
12,Terquavion Smith,Did Not Play,,,,,,,,,,,,,,,
