,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Josh Hart,48:00,.278,.278,.333,.000,4.9,21.4,13.3,28.2,1.1,0.0,10.0,18.2,95,119,-5.2
1,Miles McBride,46:31,.927,.923,.692,.462,2.5,0.0,1.2,5.9,1.1,0.0,6.0,15.6,175,126,7.5
2,Jalen Brunson,35:14,.596,.540,.360,.320,0.0,16.2,8.2,34.5,1.5,0.0,9.5,39.1,125,120,6.1
3,Donte DiVincenzo,31:16,.692,.692,.615,.000,3.7,11.0,7.4,4.6,1.7,0.0,0.0,18.2,148,121,3.5
4,Isaiah Hartenstein,25:07,.825,.857,.000,.286,23.3,22.8,23.0,23.5,4.1,3.7,0.0,13.7,187,109,17.3
5,Precious Achiuwa,18:14,.615,.500,.000,.500,32.1,25.1,28.5,6.8,0.0,0.0,17.0,14.1,142,120,0.1
6,Bojan Bogdanović,16:44,.333,.333,.333,.000,0.0,13.7,6.9,15.0,0.0,0.0,25.0,20.9,67,124,-13.7
7,Alec Burks,14:15,.425,.300,.600,.400,0.0,8.0,4.1,8.3,0.0,0.0,0.0,18.0,113,126,-6.1
8,Jericho Sims,4:39,,,,,0.0,24.6,12.4,0.0,0.0,0.0,100.0,9.4,0,120,-23.5
9,Mamadi Diakite,Did Not Play,,,,,,,,,,,,,,,
10,DaQuan Jeffries,Did Not Play,,,,,,,,,,,,,,,
11,Shake Milton,Did Not Play,,,,,,,,,,,,,,,
