,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,James Harden,36:02,6,11,.545,5,9,.556,2,2,1.000,0,4,4,14,0,1,3,1,19,22.0,+22
1,Paul George,35:50,10,18,.556,4,7,.571,3,3,1.000,0,6,6,4,2,1,0,1,27,25.3,+23
2,Amir Coffey,30:44,5,10,.500,1,4,.250,0,0,,0,1,1,2,1,0,1,0,11,7.7,+9
3,Kawhi Leonard,28:02,9,16,.563,1,3,.333,5,6,.833,1,3,4,2,4,0,2,0,24,21.0,+11
4,Ivica Zubac,23:57,7,9,.778,0,0,,0,0,,4,5,9,2,4,2,1,2,14,19.8,+12
5,P.J. Tucker,25:37,0,0,,0,0,,0,0,,0,7,7,1,2,0,0,2,0,4.0,+1
6,Brandon Boston Jr.,23:05,4,9,.444,0,2,.000,1,2,.500,0,2,2,0,1,2,1,2,9,5.1,-2
7,Daniel Theis,19:32,3,4,.750,2,2,1.000,2,2,1.000,1,4,5,2,0,1,1,2,10,10.6,+8
8,Bones Hyland,7:13,0,4,.000,0,3,.000,0,0,,0,1,1,2,0,0,1,2,0,-2.9,-3
9,Xavier Moon,5:46,1,3,.333,0,1,.000,0,0,,0,0,0,0,1,0,1,0,2,0.3,-9
10,Mason Plumlee,4:12,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,0,1,0,-0.1,-7
