,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Gary Trent Jr.,32:21,.503,.471,.529,.118,9.7,11.7,10.6,12.3,1.6,0.0,0.0,24.4,115,133,-0.3
1,Gradey Dick,32:10,.282,.188,.750,.250,0.0,3.9,1.8,14.2,1.6,0.0,18.4,14.9,64,136,-13.1
2,Ochai Agbaji,29:58,.597,.600,.400,.200,7.0,4.2,5.7,6.4,5.1,0.0,15.5,18.9,104,128,-0.6
3,Kelly Olynyk,29:36,.643,.643,.429,.000,0.0,12.8,5.8,24.5,0.0,6.1,30.0,14.9,97,134,-6.1
4,Bruce Brown,25:46,.483,.375,.125,.375,8.1,14.7,11.1,40.8,2.0,0.0,30.0,22.8,92,131,-4.9
5,Jahmi'us Ramsey,22:11,.688,.688,.375,.000,0.0,17.1,7.7,9.8,2.3,0.0,20.0,19.9,102,129,-2.1
6,Javon Freeman-Liberty,20:59,.410,.250,.250,.500,5.0,18.1,10.9,7.4,2.4,0.0,0.0,10.2,108,128,-8.6
7,Jordan Nwora,17:25,.781,.786,.286,.429,0.0,14.5,6.6,0.0,2.9,0.0,37.5,33.7,80,129,-7.1
8,Jalen McDaniels,13:28,.500,.500,.500,.000,0.0,0.0,0.0,41.3,3.8,0.0,0.0,13.1,127,133,3.9
9,Mouhamadou Gueye,13:23,.193,.167,.000,.667,7.8,9.4,8.5,0.0,3.8,6.8,27.9,35.4,34,127,-28.4
10,Jontay Porter,2:43,.000,.000,.000,.000,76.8,0.0,42.1,0.0,0.0,0.0,0.0,16.2,87,142,-13.8
11,Garrett Temple,Did Not Play,,,,,,,,,,,,,,,
