,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Bradley Beal,37:04,.761,.714,.571,.286,4.2,9.0,7.0,32.5,0.0,2.3,38.8,16.2,125,127,-1.7
1,Kevin Durant,36:56,.525,.400,.533,.467,4.2,9.1,7.0,7.5,0.0,7.0,21.7,29.2,94,124,-10.9
2,Grayson Allen,35:47,.732,.688,.875,.250,0.0,9.4,5.4,15.1,1.4,4.8,0.0,11.6,165,122,4.5
3,Devin Booker,31:53,.895,.867,.533,.267,4.9,10.5,8.1,11.6,0.0,0.0,10.7,27.5,154,128,5.2
4,Jusuf Nurkić,31:35,.411,.200,.000,1.600,14.7,24.7,20.5,7.7,1.6,0.0,19.0,15.5,103,119,-9.9
5,Eric Gordon,24:06,.918,.909,.545,.091,0.0,4.6,2.7,39.7,4.2,0.0,0.0,22.1,191,120,18.9
6,Drew Eubanks,16:25,.788,.750,.000,.250,9.4,20.4,15.8,0.0,0.0,15.7,18.4,15.5,130,115,0.3
7,Royce O'Neale,15:16,1.000,1.000,.857,.000,0.0,36.6,21.2,24.9,0.0,5.6,12.5,24.4,158,116,19.0
8,Bol Bol,10:58,.868,.750,1.000,1.000,0.0,30.5,17.7,23.9,0.0,7.8,25.8,16.5,148,116,8.8
9,Nassir Little,Did Not Play,,,,,,,,,,,,,,,
10,David Roddy,Did Not Play,,,,,,,,,,,,,,,
11,Isaiah Thomas,Did Not Play,,,,,,,,,,,,,,,
12,Ish Wainright,Did Not Play,,,,,,,,,,,,,,,
13,Thaddeus Young,Did Not Play,,,,,,,,,,,,,,,
