,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Jalen Green,40:01,.547,.545,.545,.182,0.0,10.0,5.2,10.3,1.2,1.9,7.8,26.7,110,119,-1.4
1,Fred VanVleet,38:57,.409,.409,.818,.000,0.0,7.7,4.0,34.2,1.2,4.0,21.4,14.9,108,118,-2.3
2,Amen Thompson,26:19,.644,.556,.111,.667,4.1,26.6,15.9,14.4,1.8,0.0,7.9,19.9,138,114,1.8
3,Dillon Brooks,25:13,.885,.885,.462,.000,0.0,7.9,4.1,6.8,3.8,0.0,0.0,21.4,174,115,15.8
4,Jabari Smith Jr.,22:29,.239,.200,.400,.100,4.9,26.7,16.2,0.0,0.0,0.0,22.3,24.8,47,117,-26.3
5,Jeff Green,27:28,.788,.813,.750,.250,7.9,18.2,13.3,0.0,0.0,2.8,0.0,13.4,164,118,3.5
6,Jock Landale,26:53,.697,.600,.000,.500,28.4,18.6,23.3,24.6,0.0,5.8,19.7,23.4,142,116,8.1
7,Aaron Holiday,18:24,1.090,1.083,.667,.333,5.9,10.9,8.5,7.7,2.6,0.0,12.7,17.8,182,117,14.4
8,Reggie Bullock,11:01,.750,.750,.500,.000,9.9,18.2,14.2,0.0,4.3,0.0,0.0,7.5,167,110,4.4
9,Jae'Sean Tate,3:14,.000,.000,1.000,.000,0.0,0.0,0.0,63.2,0.0,0.0,33.3,38.5,45,126,-30.2
10,Boban Marjanović,Did Not Play,,,,,,,,,,,,,,,
11,Jeenathan Williams,Did Not Play,,,,,,,,,,,,,,,
