,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,GG Jackson II,36:39,5,16,.313,2,8,.250,2,4,.500,3,5,8,3,0,0,3,3,14,5.5,-15
1,Jaren Jackson Jr.,35:36,11,22,.500,2,6,.333,4,6,.667,2,5,7,2,1,2,4,4,28,17.3,+7
2,Santi Aldama,33:46,5,10,.500,3,6,.500,2,2,1.000,1,12,13,3,0,1,0,0,15,17.1,-6
3,John Konchar,33:07,2,5,.400,2,5,.400,0,0,,0,5,5,2,1,0,1,1,6,5.8,+13
4,Jordan Goodwin,24:32,1,5,.200,0,3,.000,0,0,,0,5,5,5,1,0,3,0,2,1.9,-9
5,Jake LaRavia,27:47,3,8,.375,1,3,.333,8,9,.889,2,3,5,1,1,0,1,3,15,12.0,+21
6,Scotty Pippen Jr.,23:28,6,9,.667,2,2,1.000,4,8,.500,1,2,3,2,4,0,3,2,18,15.4,+11
7,Mãozinha Pereira,13:21,0,3,.000,0,1,.000,0,0,,0,3,3,0,1,0,1,1,0,-1.6,-2
8,DeJon Jarreau,11:44,0,4,.000,0,0,,1,2,.500,0,2,2,0,1,1,1,3,1,-2.1,-10
9,Lamar Stevens,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Vince Williams Jr.,Did Not Dress,,,,,,,,,,,,,,,,,,,,
11,Ziaire Williams,Did Not Dress,,,,,,,,,,,,,,,,,,,,
