,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Tobias Harris,40:51,6,18,.333,1,6,.167,3,5,.600,2,11,13,4,1,1,2,2,16,11.4,-9
1,Tyrese Maxey,39:03,10,26,.385,1,9,.111,6,6,1.000,0,2,2,3,3,0,0,4,27,16.9,-1
2,Kelly Oubre Jr.,35:15,6,18,.333,1,5,.200,6,7,.857,2,4,6,3,3,1,2,1,19,14.4,+3
3,Kyle Lowry,31:50,1,6,.167,1,4,.250,2,2,1.000,1,1,2,3,0,1,1,1,5,3.6,+2
4,Mo Bamba,31:44,3,7,.429,2,5,.400,3,4,.750,1,6,7,3,2,3,1,5,11,12.6,0
5,Nicolas Batum,19:43,0,2,.000,0,2,.000,0,0,,1,4,5,1,0,0,1,0,0,0.2,-8
6,Paul Reed,13:05,2,3,.667,0,0,,0,0,,4,1,5,0,1,0,0,4,4,5.2,-4
7,Buddy Hield,12:59,2,6,.333,1,3,.333,0,0,,0,0,0,1,2,1,1,3,5,2.8,-9
8,Cameron Payne,12:19,3,9,.333,1,3,.333,0,0,,0,0,0,2,1,0,0,1,7,3.9,-6
9,KJ Martin,3:11,0,1,.000,0,0,,0,0,,2,0,2,0,0,0,0,2,0,-0.1,-3
10,Ricky Council IV,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Kai Jones,Not With Team,,,,,,,,,,,,,,,,,,,,
