,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Julian Champagnie,24:37,1,4,.250,0,2,.000,2,3,.667,0,2,2,2,1,2,1,1,4,4.2,-11
1,Devin Vassell,23:30,1,8,.125,0,2,.000,0,0,,0,3,3,3,0,0,1,0,2,-1.2,-27
2,Tre Jones,21:22,4,5,.800,0,1,.000,2,2,1.000,0,1,1,5,0,0,1,0,10,10.9,-21
3,Jeremy Sochan,21:22,3,7,.429,0,4,.000,1,2,.500,0,3,3,2,0,1,2,0,7,3.9,-21
4,Victor Wembanyama,20:53,5,7,.714,1,2,.500,2,2,1.000,1,4,5,4,0,1,5,0,13,10.5,-13
5,Keldon Johnson,24:24,5,11,.455,0,5,.000,4,5,.800,1,3,4,1,1,0,1,1,14,9.8,-9
6,Malaki Branham,21:36,3,8,.375,1,3,.333,0,0,,0,0,0,3,0,0,0,1,7,4.3,-15
7,Zach Collins,19:05,4,9,.444,2,2,1.000,1,2,.500,2,1,3,1,1,1,2,3,11,6.8,-18
8,Blake Wesley,18:39,4,5,.800,2,2,1.000,2,2,1.000,1,0,1,3,2,1,0,2,12,14.8,+2
9,Cedi Osman,18:36,2,5,.400,1,3,.333,0,0,,0,4,4,1,0,0,0,1,5,3.8,-10
10,Devonte' Graham,8:57,2,6,.333,1,5,.200,1,1,1.000,0,2,2,2,1,0,1,0,6,4.6,+6
11,Dominick Barlow,8:57,1,3,.333,0,0,,2,2,1.000,2,1,3,0,0,0,0,0,4,4.0,+6
12,Sandro Mamukelashvili,8:02,5,7,.714,1,2,.500,0,0,,1,2,3,0,0,0,1,0,11,8.4,+6
