,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Gary Trent Jr.,34:26,.510,.404,.269,.385,2.7,9.3,5.7,10.7,4.2,0.0,0.0,36.1,114,110,0.6
1,Gradey Dick,33:39,.612,.577,.615,.154,0.0,6.3,2.9,9.1,0.0,2.5,0.0,16.9,128,119,-2.7
2,Kelly Olynyk,32:22,.513,.364,.091,.545,2.9,16.5,9.2,43.5,3.0,2.6,18.0,21.0,110,108,1.3
3,Ochai Agbaji,32:02,.450,.500,.417,.250,14.4,13.3,13.9,9.7,1.5,5.3,7.0,18.3,102,112,-2.4
4,Jahmi'us Ramsey,18:05,.800,.800,.800,.000,0.0,23.6,10.9,8.3,0.0,0.0,0.0,11.3,155,113,-1.0
5,Bruce Brown,32:30,.384,.385,.077,.231,14.2,3.3,9.1,13.6,1.5,0.0,17.3,21.8,84,118,-11.0
6,Javon Freeman-Liberty,23:00,.340,.200,.400,.400,4.0,13.9,8.6,22.0,4.2,0.0,33.8,15.8,71,108,-8.4
7,Jordan Nwora,15:42,.583,.583,.500,.000,0.0,13.6,6.3,9.9,0.0,5.4,25.0,20.8,84,115,-8.8
8,Garrett Temple,10:51,.750,.750,1.000,.000,0.0,49.2,22.8,24.9,0.0,7.8,0.0,7.5,165,99,3.6
9,Mouhamadou Gueye,7:23,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,11.4,0.0,5.5,200,117,-2.8
10,Chris Boucher,Not With Team,,,,,,,,,,,,,,,
11,Jalen McDaniels,Did Not Play,,,,,,,,,,,,,,,
