,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Anthony Edwards,37:33,.534,.500,.444,.444,0.0,17.4,9.0,32.9,0.0,0.0,8.5,28.1,114,117,0.5
1,Rudy Gobert,37:10,.751,.700,.000,.300,3.1,32.3,18.2,8.3,0.0,2.6,26.1,18.5,111,112,-3.0
2,Mike Conley,30:16,.543,.542,.583,.167,0.0,3.6,1.9,34.6,6.4,0.0,13.4,22.1,113,105,5.2
3,Jaden McDaniels,29:30,.500,.500,.750,.000,4.0,11.1,7.7,4.6,0.0,0.0,11.1,13.7,95,118,-7.9
4,Naz Reid,28:49,.909,.909,.727,.000,8.1,37.9,23.5,0.0,1.7,6.8,35.3,26.5,92,104,5.2
5,Kyle Anderson,25:47,.446,.333,.000,.556,9.1,16.9,13.1,27.0,3.8,3.8,0.0,19.5,125,106,5.5
6,Nickeil Alexander-Walker,21:57,.786,.786,.714,.000,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.3,152,120,3.8
7,Monte Morris,17:10,.667,.667,.667,.000,0.0,12.7,6.6,26.5,5.7,5.7,0.0,15.7,145,101,14.1
8,Jordan McLaughlin,11:48,.500,.500,.667,.000,9.9,0.0,4.8,22.6,0.0,0.0,0.0,11.4,139,121,-0.4
9,Luka Garza,Did Not Play,,,,,,,,,,,,,,,
10,Leonard Miller,Did Not Play,,,,,,,,,,,,,,,
11,Josh Minott,Did Not Play,,,,,,,,,,,,,,,
12,Wendell Moore Jr.,Did Not Play,,,,,,,,,,,,,,,
13,T.J. Warren,Did Not Play,,,,,,,,,,,,,,,
